date,year,coach,opposition,tournament,test,h / a,wales irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
24/09/2023,2023,wg,australia,wc,yes,n,7,9,2,,w,40,6,34,"thomas, g",elias,francis,rowlands,beard,"wainwright, a","morgan, j",faletau,"davies, ga",biggar,adams,tompkins,north,rees-zammit,"williams, li",dee,domachowski,"thomas, h","jenkins, d",basham,"williams, to",anscombe,dyer
07/10/2023,2023,wg,georgia,wc,yes,n,7,13,6,,w,43,19,24,"thomas, g",lake,francis,rowlands,"jenkins, d","wainwright, a",reffell,faletau,"williams, to",costelow,dyer,tompkins,north,rees-zammit,"williams, li",dee,smith,"thomas, h",tshiunza,basham,"davies, ga",biggar,grady
14/10/2023,2023,wg,argentina,wc,yes,n,7,8,1,,l,17,29,-12,"thomas, g",elias,francis,rowlands,beard,"morgan, j",reffell,"wainwright, a","davies, ga",biggar,adams,tompkins,north,rees-zammit,"williams, li",lake,domachowski,lewis,"jenkins, d",tshiunza,"williams, to",costelow,dyer
03/02/2024,2024,wg,scotland,6n,yes,h,8,6,-2,,l,26,27,-1,domachowski,elias,brown,"jenkins, d",beard,botham,reffell,"wainwright, a","davies, ga",costelow,dyer,tompkins,watkin,adams,winnett,dee,mathias,assiratti,"williams, te",mann,"williams, to","lloyd, i",grady
10/02/2024,2024,wg,england,6n,yes,a,8,5,-3,,l,14,16,-2,"thomas, g",dee,assiratti,"jenkins, d",beard,mann,reffell,"wainwright, a","williams, to","lloyd, i",dyer,tompkins,north,adams,winnett,elias,domachowski,griffin,rowlands,basham,hardy,"evans, c",grady
24/02/2024,2024,wg,ireland,6n,yes,a,8,2,-6,,l,7,31,-24,"thomas, g",dee,assiratti,"jenkins, d",beard,mann,reffell,"wainwright, a","williams, to",costelow,dyer,tompkins,north,adams,winnett,elias,domachowski,lewis,rowlands,martin,hardy,"lloyd, i",grady
10/03/2024,2024,wg,france,6n,yes,h,8,4,-4,,l,24,45,-21,"thomas, g",dee,assiratti,rowlands,beard,"jenkins, d",reffell,"wainwright, a","williams, to",costelow,dyer,watkin,"roberts, jo",adams,winnett,"lloyd, e",domachowski,lewis,mann,martin,"davies, ga","lloyd, i",grady
16/03/2024,2024,wg,italy,6n,yes,h,8,9,1,,l,21,24,-3,"thomas, g",dee,lewis,"jenkins, d",beard,mann,reffell,"wainwright, a","williams, to",costelow,dyer,tompkins,north,adams,winnett,"lloyd, e",mathias,o'connor,rowlands,martin,hardy,"lloyd, i",grady
22/06/2024,2024,wg,sa,tour,yes,a,10,1,-9,,l,13,41,-28,"thomas, g",lake,assiratti,screech,carter,plumtree,botham,"wainwright, a",bevan,costelow,dyer,grady,watkin,"williams, li",winnett,"lloyd, e",mathias,o'connor,ratti,martin,"davies, ga","james, e",beetham
06/07/2024,2024,wg,australia,tour,yes,a,10,9,-1,,l,16,25,-9,"thomas, g",lake,griffin,tshiunza,"jenkins, d",plumtree,reffell,"wainwright, a",bevan,"thomas, b",dyer,grady,watkin,hathaway,"williams, li","lloyd, e",mathias,o'connor,hill,botham,hardy,costelow,tompkins
13/07/2024,2024,wg,australia,tour,yes,a,11,8,-3,,l,28,36,-8,"thomas, g",lake,griffin,tshiunza,"jenkins, d",botham,reffell,plumtree,bevan,"thomas, b",dyer,grady,watkin,"williams, li",winnett,"lloyd, e",mathias,o'connor,hill,martin,hardy,costelow,tompkins
10/11/2024,2024,wg,fiji,eoyt,yes,h,11,10,-1,,l,19,24,-5,"thomas, g",lake,griffin,rowlands,beard,plumtree,reffell,"wainwright, a","williams, to",anscombe,murray,"thomas, b",llewellyn,grady,winnett,elias,smith,assiratti,tshiunza,botham,"morgan, j",bevan,costelow
17/11/2024,2024,wg,australia,eoyt,yes,h,11,8,-3,,l,20,52,-32,"thomas, g",lake,griffin,rowlands,beard,botham,"morgan, j","wainwright, a",bevan,anscombe,murray,"thomas, b",llewellyn,rogers,winnett,elias,smith,assiratti,tshiunza,reffell,"williams, rh",costelow,"james, e"
23/11/2024,2024,wg,sa,eoyt,yes,h,11,1,-10,,l,12,45,-33,smith,lake,griffin,rowlands,tshiunza,botham,"morgan, j",plumtree,bevan,costelow,dyer,"thomas, b",llewellyn,hathaway,murray,elias,mathias,assiratti,"thomas, f",reffell,"williams, rh","james, e",watkin
31/01/2025,2025,wg,france,6n,yes,a,11,4,-7,,l,0,43,-43,"thomas, g","lloyd, e","thomas, h",rowlands,"jenkins, d",botham,"morgan, j","wainwright, a","williams, to","thomas, b",adams,watkin,tompkins,rogers,"williams, li",dee,smith,assiratti,"thomas, f",reffell,"williams, rh",edwards,murray
08/02/2025,2025,wg,italy,6n,yes,a,11,10,-1,,l,15,22,-7,"thomas, g","lloyd, e","thomas, h",rowlands,"thomas, f",botham,"morgan, j",faletau,"williams, to","thomas, b",adams,"james, e",tompkins,rogers,murray,dee,smith,assiratti,"williams, te","wainwright, a","williams, rh",edwards,hathaway
22/02/2025,2025,ms,ireland,6n,yes,h,12,2,-10,,l,18,27,-9,smith,dee,john,rowlands,"jenkins, d","morgan, j",reffell,faletau,"williams, to",anscombe,mee,"thomas, b",llewellyn,rogers,murray,"lloyd, e","thomas, g","thomas, h","williams, te","wainwright, a","williams, rh","evans, j","roberts, jo"
08/03/2025,2025,ms,scotland,6n,yes,a,12,7,-5,,l,29,35,-6,smith,dee,john,rowlands,"jenkins, d","morgan, j",reffell,faletau,"williams, to",anscombe,mee,"thomas, b",llewellyn,rogers,murray,lake,"thomas, g",assiratti,"williams, te","wainwright, a","williams, rh","evans, j","roberts, jo"
15/03/2025,2025,ms,england,6n,yes,h,12,6,-6,,l,14,68,-54,smith,dee,john,rowlands,"jenkins, d","wainwright, a","morgan, j",faletau,"williams, to",anscombe,mee,"thomas, b",llewellyn,"roberts, jo",murray,lake,"thomas, g",assiratti,"williams, te",reffell,"williams, rh","evans, j",tompkins
05/07/2025,2025,ms,japan,tour,yes,a,12,13,1,,l,19,24,-5,smith,lake,assiratti,carter,"williams, te",mann,macleod,faletau,hardy,costelow,adams,"thomas, b","williams, jo",rogers,murray,belcher,"thomas, g",griffin,ratti,"wainwright, a",reffell,"williams, rh","roberts, jo"
12/07/2025,2025,ms,japan,tour,yes,a,14,12,-2,,w,31,22,9,smith,lake,griffin,"thomas, f","williams, te",mann,macleod,"wainwright, a",hardy,edwards,adams,"thomas, b","williams, jo",rogers,murray,belcher,"thomas, g",coleman,ratti,plumtree,reffell,morgan-williams,giles
09/11/2025,2025,st,argentina,eoyt,yes,h,12,6,-6,,l,28,52,-24,carre,lake,assiratti,"jenkins, d",beard,mann,"morgan, j","wainwright, a","williams, to",edwards,adams,"thomas, b",llewellyn,rogers,murray,belcher,smith,griffin,"thomas, f",cracknell,hardy,"evans, j",rees-zammit
15/11/2025,2025,st,japan,eoyt,yes,h,12,13,1,,w,24,23,1,smith,lake,griffin,"jenkins, d",beard,"wainwright, a",mann,cracknell,"williams, to",edwards,adams,"thomas, b",llewellyn,rees-zammit,murray,belcher,carre,assiratti,"thomas, f",plumtree,hardy,"evans, j",tompkins
22/11/2025,2025,st,nz,eoyt,yes,h,12,2,-10,,l,26,52,-26,carre,lake,assiratti,"jenkins, d",beard,mann,deaves,plumtree,"williams, to",edwards,rogers,hawkins,llewellyn,rees-zammit,murray,coghlan,"thomas, g",griffin,"thomas, f",morse,hardy,"evans, j",tompkins
29/11/2025,2025,st,sa,eoyt,yes,h,11,1,-10,,l,0,73,-73,"thomas, g",lake,assiratti,carter,"davies, rh",plumtree,mann,"wainwright, a",hardy,edwards,dyer,hawkins,"roberts, jo",mee,murray,coghlan,southworth,coleman,ratti,morse,morgan-williams,sheedy,"thomas, b"
07/02/2026,2026,st,england,6n,yes,a,11,3,-8,,l,7,48,-41,smith,lake,griffin,"jenkins, d",beard,mann,macleod,"wainwright, a","williams, to",edwards,adams,"thomas, b","james, e",mee,rees-zammit,belcher,carre,francis,carter,plumtree,deaves,hardy,grady
15/02/2026,2026,st,france,6n,yes,h,11,4,-7,,l,12,54,-42,carre,lake,francis,"jenkins, d",beard,"wainwright, a",mann,cracknell,"williams, to",edwards,adams,hawkins,"james, e",mee,rees-zammit,elias,smith,griffin,carter,plumtree,hardy,"evans, j",grady
21/02/2026,2026,st,scotland,6n,yes,h,11,9,-2,,l,23,26,-3,carre,lake,francis,"jenkins, d",carter,plumtree,mann,"wainwright, a","williams, to",costelow,adams,hawkins,"james, e",hamer-webb,rees-zammit,elias,smith,griffin,"thomas, f",botham,hardy,"evans, j",murray
06/03/2026,2026,st,ireland,6n,yes,a,12,3,-9,,l,17,27,-10,carre,lake,francis,"jenkins, d",carter,mann,botham,"wainwright, a","williams, to",edwards,adams,hawkins,"james, e",mee,rees-zammit,elias,smith,griffin,beard,cracknell,hardy,"evans, j",hennessey
14/03/2026,2026,st,italy,6n,yes,h,12,10,-2,,w,31,17,14,carre,lake,francis,"jenkins, d",carter,mann,botham,"wainwright, a","williams, to",edwards,adams,hawkins,"james, e",mee,rees-zammit,elias,smith,griffin,beard,cracknell,hardy,"evans, j",murray
04/07/2026,2026,st,fiji,nc,yes,h,11,9,-2,,w,39,24,15,carre,lake,lewis,carter,beard,mann,"morgan, j","wainwright, a","williams, to",edwards,adams,hawkins,"james, e",rees-zammit,murray,elias,smith,warren,plumtree,botham,hardy,costelow,mee
11/07/2026,2026,st,argentina,nc,yes,a,11,7,-4,,l,21,35,-14,carre,lake,lewis,carter,beard,botham,"morgan, j","wainwright, a","williams, to",costelow,adams,hawkins,"james, e",mee,murray,elias,smith,warren,"williams, te","james, k",hardy,llewellyn,rees-zammit
18/07/2026,2026,st,sa,nc,yes,a,12,1,-11,,l,0,43,-43,carre,lake,lewis,"williams, te",beard,mann,"morgan, j","wainwright, a","williams, to",edwards,mee,"thomas, b",llewellyn,rees-zammit,murray,elias,smith,warren,"thomas, f",reffell,botham,morgan-williams,hawkins
