date,year,coach,opposition,tournament,test,h / a,nz irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
13/11/2022,2022,if,scotland,tour,yes,a,3,8,5,,w,31,23,8,de groot,taukei'aho,laulala,"whitelock, s","barrett, s","ioane, a",papali'i,"savea, a",christie,"barrett, b",clarke,havili,lienert-brown,tele'a,"barrett, j",taylor,bower,newell,vaa'i,frizell,perenara,perofeta,"ioane, r"
19/11/2022,2022,if,england,tour,yes,a,3,5,2,,d,25,25,0,de groot,taylor,lomax,retallick,"whitelock, s","barrett, s",papali'i,"savea, a","smith, a",mo'unga,clarke,"barrett, j","ioane, r",tele'a,"barrett, b",taukei'aho,bower,laulala,frizell,sotutu,perenara,havili,lienert-brown
08/07/2023,2023,if,argentina,rc,yes,a,3,8,5,,w,41,12,29,de groot,coles,lomax,"barrett, s",lord,frizell,cane,"savea, a","smith, a",mckenzie,clarke,"barrett, j","ioane, r",narawa,"barrett, b",taylor,tuungafasi,laulala,vaa'i,papali'i,christie,mo'unga,ennor
15/07/2023,2023,if,sa,rc,yes,h,3,4,1,,w,35,20,15,de groot,taylor,lomax,retallick,"barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,tele'a,"barrett, j","ioane, r",jordan,"barrett, b",taukei'aho,"williams, t",laulala,vaa'i,papali'i,christie,ennor,clarke
29/07/2023,2023,if,australia,rc,yes,a,3,8,5,,w,38,7,31,de groot,taylor,lomax,retallick,"barrett, s",frizell,papali'i,"savea, a","smith, a",mo'unga,tele'a,"barrett, j","ioane, r",jordan,"barrett, b",taukei'aho,tuungafasi,laulala,"whitelock, s",jacobson,roigard,lienert-brown,clarke
05/08/2023,2023,if,australia,rc,yes,h,2,8,6,,w,23,20,3,"williams, t",taukei'aho,laulala,retallick,"whitelock, s",finau,cane,"savea, a",christie,mckenzie,fainga'anuku,lienert-brown,ennor,stevenson,jordan,coles,tuungafasi,newell,vaa'i,jacobson,"smith, a",mo'unga,mcleod
25/08/2023,2023,if,sa,rc,yes,a,2,3,1,,l,7,35,-28,de groot,coles,lomax,"whitelock, s","barrett, s",jacobson,cane,"savea, a","smith, a",mo'unga,tele'a,"barrett, j","ioane, r",jordan,"barrett, b",taukei'aho,"williams, t",newell,lord,vaa'i,papali'i,roigard,lienert-brown
08/09/2023,2023,if,france,wc,yes,n,4,3,-1,,l,13,27,-14,de groot,taylor,laulala,"whitelock, s","barrett, s",vaa'i,papali'i,"savea, a","smith, a",mo'unga,tele'a,lienert-brown,"ioane, r",jordan,"barrett, b",taukei'aho,tuungafasi,newell,retallick,jacobson,christie,havili,fainga'anuku
15/09/2023,2023,if,namibia,wc,yes,n,4,21,17,,w,71,3,68,tuungafasi,taukei'aho,laulala,retallick,"whitelock, s",jacobson,papali'i,"savea, a",roigard,mckenzie,fainga'anuku,havili,lienert-brown,clarke,"barrett, b",coles,de groot,newell,"barrett, s",vaa'i,"smith, a",mo'unga,"ioane, r"
29/09/2023,2023,if,italy,wc,yes,n,4,11,7,,w,96,17,79,tuungafasi,taylor,laulala,retallick,"barrett, s",frizell,papali'i,"savea, a","smith, a",mo'unga,tele'a,"barrett, j","ioane, r",jordan,"barrett, b",coles,"williams, t",lomax,"whitelock, s",cane,roigard,mckenzie,lienert-brown
05/10/2023,2023,if,uruguay,wc,yes,n,4,17,13,,w,73,0,73,tuungafasi,taylor,lomax,"whitelock, s",vaa'i,frizell,cane,jacobson,roigard,mo'unga,fainga'anuku,"barrett, j",lienert-brown,jordan,mckenzie,taukei'aho,"williams, t",newell,"barrett, s",blackadder,christie,"barrett, b",clarke
14/10/2023,2023,if,ireland,wc,yes,n,4,1,-3,,w,28,24,4,de groot,taylor,lomax,retallick,"barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,fainga'anuku,"barrett, j","ioane, r",jordan,"barrett, b",coles,"williams, t",newell,"whitelock, s",papali'i,christie,mckenzie,lienert-brown
20/10/2023,2023,if,argentina,wc,yes,n,2,7,5,,w,44,6,38,de groot,taylor,lomax,"whitelock, s","barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,tele'a,"barrett, j","ioane, r",jordan,"barrett, b",taukei'aho,"williams, t",newell,retallick,papali'i,christie,mckenzie,lienert-brown
28/10/2023,2023,if,sa,wc,yes,n,2,1,-1,,l,11,12,-1,de groot,taylor,lomax,retallick,"barrett, s",frizell,cane,"savea, a","smith, a",mo'unga,tele'a,"barrett, j","ioane, r",jordan,"barrett, b",taukei'aho,"williams, t",laulala,"whitelock, s",papali'i,christie,mckenzie,lienert-brown
06/07/2024,2024,sr,england,tour,yes,h,3,5,2,,w,16,15,1,de groot,taylor,lomax,"barrett, s",tuipulotu,finau,papali'i,"savea, a",perenara,mckenzie,tele'a,"barrett, j","ioane, r",reece,perofeta,aumua,tuungafasi,newell,vaa'i,jacobson,christie,lienert-brown,"barrett, b"
13/07/2024,2024,sr,england,tour,yes,h,3,5,2,,w,24,17,7,de groot,taylor,lomax,"barrett, s",tuipulotu,finau,papali'i,"savea, a",christie,mckenzie,tele'a,"barrett, j","ioane, r",reece,perofeta,aumua,tuungafasi,newell,vaa'i,jacobson,ratima,lienert-brown,"barrett, b"
19/07/2024,2024,sr,fiji,tour,yes,a,3,10,7,,w,47,5,42,"williams, t",aumua,newell,"barrett, s",vaa'i,jacobson,blackadder,"savea, a",ratima,mckenzie,clarke,lienert-brown,"proctor, b",reece,"barrett, b",bell,de groot,tosi,darry,sititi,hotham,"barrett, j",narawa
