date,year,coach,opposition,tournament,test,h / a,france irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
15/03/2025,2025,fg,scotland,6n,yes,h,4,7,3,,w,35,16,19,gros,mauvaka,atonio,flament,guillard,cros,boudehent,alldritt,lucu,ntamack,bielle-biarrey,moefana,fickou,penaud,ramos,marchand,baille,aldegheri,"auradou, h",meafou,jegou,jelonch,le garrec
05/07/2025,2025,fg,nz,tour,yes,a,4,2,-2,,l,27,31,-4,beria,barlot,slimani,"aurodou, h",duguid,fischer,tixeront,guillard,le garrec,segonds,villiere,fickou,gailleton,spring,attissogbe,bourgarit,mallez,montagne,"taofifenua, ro",woki,van tonder,jauneau,hastoy
12/07/2025,2025,fg,nz,tour,yes,a,4,2,-2,,l,17,43,-26,erdocio,barlot,colombe,"brennan, j",halagahu,bochaton,van tonder,abadie,le garrec,segonds,gailleton,barassi,depoortere,attissogbe,barre,bourgarit,mallez,montagne,"taofifenua, ro",woki,vergnes-taillefer,daubagna,hastoy
19/07/2025,2025,fg,nz,tour,yes,a,4,2,-2,,l,19,29,-10,erdocio,bourgarit,slimani,"aurodou, h",halagahu,fischer,"brennan, j",guillard,le garrec,hastoy,villiere,fickou,depoortere,attissogbe,barre,barlot,mallez,bamba,"taofifenua, ro",tixeront,bochaton,daubagna,gailleton
08/11/2025,2025,fg,sa,eoyt,yes,h,5,1,-4,,l,17,32,-15,erdocio,marchand,montagne,flament,meafou,jelonch,boudehent,guillard,le garrec,ntamack,bielle-biarrey,fickou,barassi,penaud,ramos,cramont,gros,aldegheri,"taofifenua, ro","aurodou, h",jegou,lucu,depoortere
15/11/2025,2025,fg,fiji,eoyt,yes,h,5,9,4,,w,34,21,13,gros,marchand,montagne,ollivon,"taofifenua, r",jelonch,jegou,alldritt,lucu,ntamack,bielle-biarrey,barassi,depoortere,penaud,ramos,lamothe,neti,laclayat,maximin,"aurodou, h",boudehent,jauneau,gailleton
22/11/2025,2025,fg,australia,eoyt,yes,h,5,7,2,,w,48,33,15,gros,marchand,montagne,flament,meafou,jelonch,ollivon,alldritt,lucu,ntamack,bielle-biarrey,fickou,depoortere,penaud,ramos,lamothe,neti,laclayat,"taofifenua, ro","aurodou, h",jegou,jauneau,gourgues
05/02/2026,2026,fg,ireland,6n,yes,h,5,4,-1,,w,36,14,22,gros,marchand,aldegheri,ollivon,guillard,cros,jegou,jelonch,dupont,jalibert,bielle-biarrey,moefana,depoortere,attissogbe,ramos,mauvaka,neti,montagne,"aurodou, h",meafou,nouchi,serin,gourgues
15/02/2026,2026,fg,wales,6n,yes,a,4,11,7,,w,54,12,42,gros,marchand,aldegheri,ollivon,guillard,cros,jegou,jelonch,dupont,jalibert,bielle-biarrey,brau-boirie,gailleton,attissogbe,ramos,lamothe,neti,montagne,flament,meafou,nouchi,serin,nene
22/02/2026,2026,fg,italy,6n,yes,h,3,10,7,,w,33,8,25,gros,marchand,aldegheri,flament,meafou,cros,jegou,jelonch,dupont,ramos,bielle-biarrey,brau-boirie,gailleton,drean,attissogbe,mauvaka,neti,colombe,ollivon,guillard,nouchi,serin,barassi
07/03/2026,2026,fg,scotland,6n,yes,a,4,7,3,,l,40,50,-10,gros,marchand,aldegheri,ollivon,guillard,cros,jegou,jelonch,dupont,jalibert,bielle-biarrey,moefana,depoortere,attissogbe,ramos,mauvaka,neti,bamba,flament,meafou,nouchi,serin,barassi
14/03/2026,2026,fg,england,6n,yes,h,4,6,2,,w,48,46,2,gros,marchand,aldegheri,flament,meafou,cros,matiu,ollivon,dupont,jalibert,bielle-biarrey,moefana,barassi,attissogbe,ramos,mauvaka,neti,bamba,"aurodou, h",guillard,"brennan, j",serin,gailleton
04/07/2026,2026,fg,nz,nc,yes,a,4,2,-2,,l,32,34,-2,poirot,lamothe,bamba,"auradou, h",staniforth,bochaton,jegou,gazzotti,lucu,jalibert,attissogbe,moefana,brau-boirie,penaud,spring,massa,wardi,montagne,guillard,tixeront,le garrec,hastoy,depoortere
11/07/2026,2026,fg,australia,nc,yes,a,4,8,4,,w,42,26,16,alo emile,mauvaka,bamba,verhaeghe,meafou,nouchi,jegou,gazzotti,lucu,ntamack,grandidier nkanang,moefana,brau-boirie,attissogbe,jalibert,lamothe,poirot,tatafu,"auradou, h",staniforth,tixeront,le garrec,gourgues
18/07/2026,2026,fg,japan,nc,yes,a,4,11,7,,w,42,15,27,poirot,lamothe,montagne,verhaeghe,meafou,nouchi,gazzotti,"roumat, a",lucu,ntamack,grandidier nkanang,moefana,brau-boirie,attissogbe,jalibert,mauvaka,wardi,falatea,"auradou, h",staniforth,tixeront,graou,gourgues
