date,year,coach,opposition,tournament,test,h / a,aus irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17/09/2023,2023,ej,fiji,wc,yes,n,7,9,2,,l,15,22,-7,bell,porecki,slipper,frost,"arnold, richie",hooper,mcreight,valetini,white,gordon,koroibete,kerevi,petaia,nawaqanitawase,donaldson,uelese,schoupp,nonggorr,philip,leota,fines-leleiwasa,foketi,vunivalu
24/09/2023,2023,ej,wales,wc,yes,n,9,7,-2,,l,6,40,-34,bell,porecki,slipper,frost,"arnold, richie",leota,hooper,valetini,mcdermott,donaldson,koroibete,kerevi,petaia,nawaqanitawase,kellaway,faessler,schoupp,fa'amausili,philip,mcreight,white,gordon,vunivalu
01/10/2023,2023,ej,portugal,wc,yes,n,10,16,6,,w,34,14,20,bell,porecki,slipper,frost,"arnold, richie",hooper,mcreight,valetini,mcdermott,donaldson,koroibete,foketi,perese,nawaqanitawase,kellaway,faessler,schoupp,fa'amausili,leota,kemeny,fines-leleiwasa,kerevi,vunivalu
06/07/2024,2024,js,wales,tour,yes,h,9,10,1,,w,25,16,9,slipper,faessler,tupou,salakaia-loto,williams,wright,mcreight,valetini,gordon,lolesio,daugunu,paisami,flook,kellaway,wright,pollard,kailea,alaalatoa,blyth,cale,mcdermott,lynagh,pietsch
13/07/2024,2024,js,wales,tour,yes,h,8,11,3,,w,36,28,8,slipper,faessler,tupou,williams,salakaia-loto,valetini,mcreight,cale,gordon,lolesio,daugunu,paisami,flook,kellaway,wright,nasser,kailea,alaalatoa,blyth,gleeson,white,donaldson,pietsch
20/07/2024,2024,js,georgia,tour,yes,h,9,12,3,,w,40,29,11,kailea,pollard,alaalatoa,frost,blyth,valetini,mcreight,wilson,mcdermott,donaldson,lancaster,paisami,ikitau,dangunu,wright,nasser,hodgman,nonggorr,hooper,williams,white,lolesio,kellaway
10/08/2024,2024,js,sa,rc,yes,h,9,1,-8,,l,7,33,-26,kailea,faessler,alaalatoa,frost,salakaia-loto,valetini,tizzano,wilson,gordon,lolesio,dangunu,paisami,ikitau,kellaway,wright,nasser,slipper,nonggorr,williams,reimer,mcdermott,lynagh,pietsch
17/08/2024,2024,js,sa,rc,yes,h,9,1,-8,,l,12,30,-18,bell,nasser,alaalatoa,blyth,salakaia-loto,valetini,tizzano,wilson,white,lolesio,koroibete,paisami,ikitau,kellaway,wright,pollard,slipper,nonggorr,hooper,uru,mcdermott,donaldson,jorgensen
31/08/2024,2024,js,argentina,rc,yes,a,9,6,-3,,w,20,19,1,bell,faessler,tupou,frost,salakaia-loto,valetini,tizzano,wilson,gordon,lolesio,koroibete,stewart,ikitau,kellaway,wright,nasser,kailea,alaalatoa,williams,gleeson,mcdermott,donaldson,jorgensen
07/09/2024,2024,js,argentina,rc,yes,a,8,7,-1,,l,27,67,-40,bell,faessler,tupou,frost,williams,valetini,tizzano,wilson,gordon,donaldson,koroibete,stewart,ikitau,jorgensen,kellaway,nasser,slipper,alaalatoa,canham,gleeson,mcdermott,lynagh,flook
21/09/2024,2024,js,nz,rc,yes,h,9,3,-6,,l,28,31,-3,faessler,tupou,frost,williams,valetini,mcreight,wilson,white,lolesio,koroibete,paisami,ikitau,kellaway,wright,paenga-amosa,slipper,alaalatoa,,salakaia-loto,gleeson,mcdermott,lynagh,pietsch
28/09/2024,2024,js,nz,rc,yes,a,10,3,-7,,l,13,33,-20,bell,faessler,tupou,frost,williams,valetini,mcreight,wilson,gordon,lolesio,pietsch,paisami,ikitau,kellaway,wright,paenga-amosa,kailea,alaalatoa,salakaia-loto,gleeson,mcdermott,donaldson,flook
09/11/2024,2024,js,england,tour,yes,a,9,5,-4,,w,42,37,5,bell,faessler,tupou,frost,williams,valetini,mcreight,wilson,gordon,lolesio,pietsch,ikitau,suaalii,kellaway,wright,paenga-amosa,slipper,alaalatoa,salakaia-loto,gleeson,mcdermott,donaldson,jorgensen
17/11/2024,2024,js,wales,tour,yes,a,8,11,3,,w,52,20,32,bell,faessler,alaalatoa,frost,skelton,uru,mcreight,valetini,white,lolesio,jorgensen,kerevi,ikitau,kellaway,wright,paenga-amosa,slipper,nonggorr,salakaia-loto,gleeson,mcdermott,donaldson,suaalii
24/11/2024,2024,js,scotland,tour,yes,a,8,6,-2,,l,13,27,-14,bell,paenga-amosa,alaalatoa,salakaia-loto,skelton,valetini,tizzano,wilson,gordon,lolesio,potter,ikitau,suaalii,kellaway,wright,pollard,kailea,nonggorr,frost,gleeson,mcdermott,donaldson,jorgensen
30/11/2024,2024,js,ireland,tour,yes,a,8,2,-6,,l,19,22,-3,slipper,paenga-amosa,tupou,frost,williams,valetini,mcreight,wilson,gordon,lolesio,jorgensen,ikitau,suaalii,kellaway,wright,pollard,kailea,alaalatoa,salakaia-loto,gleeson,mcdermott,edmed,potter
06/07/2025,2025,js,fiji,friendly,yes,h,8,9,1,,w,21,18,3,slipper,porecki,alaalatoa,frost,williams,gleeson,mcreight,wilson,mcdermott,lolesio,jorgensen,ikitau,suaalii,potter,wright,pollard,bell,nonggorr,hooper,tizzano,white,donaldson,daugunu
19/07/2025,2025,js,lions,lions,yes,h,n/a,n/a,n/a,,l,19,27,-8,slipper,faessler,alaalatoa,frost,williams,crespigny,mcreight,wilson,gordon,lynagh,potter,ikitau,suaalii,jorgensen,wright,pollard,bell,robertson,hooper,tizzano,mcdermott,donaldson,kellaway
26/07/2025,2025,js,lions,lions,yes,h,n/a,n/a,n/a,,l,26,29,-3,slipper,porecki,alaalatoa,frost,skelton,valetini,mcreight,wilson,gordon,lynagh,potter,ikitau,suaalii,jorgensen,wright,pollard,bell,robertson,williams,gleeson,tizzano,mcdermott,donaldson
02/08/2025,2025,js,lions,lions,yes,h,n/a,n/a,n/a,,w,22,12,10,slipper,pollard,tupou,frost,skelton,hooper,mcreight,wilson,white,lynagh,pietsch,ikitau,suaalii,jorgensen,wright,paenga-amosa,bell,nonggorr,williams,gleeson,mcdermott,donaldson,kellaway
16/08/2025,2025,js,sa,rc,yes,a,6,1,-5,,w,38,22,16,slipper,pollard,tupou,frost,skelton,hooper,mcreight,wilson,white,o'connor,pietsch,ikitau,suaalii,jorgensen,wright,paenga-amosa,bell,nonggorr,williams,gleeson,mcdermott,edmed,kellaway
23/08/2025,2025,js,sa,rc,yes,a,6,3,-3,,l,22,30,-8,robertson,pollard,tupou,frost,skelton,hooper,mcreight,valetini,white,o'connor,toole,ikitau,suaalii,jorgensen,wright,paenga-amosa,bell,nonggorr,williams,crespigny,mcdermott,edmed,kellaway
06/09/2025,2025,js,argentina,rc,yes,h,6,7,1,,w,28,24,4,robertson,pollard,tupou,frost,hooper,valetini,mcreight,wilson,white,lynagh,toole,ikitau,suaalii,jorgensen,kellaway,paenga-amosa,bell,nonggorr,williams,tizzano,mcdermott,o'connor,daugunu
13/09/2025,2025,js,argentina,rc,yes,h,6,7,1,,l,26,28,-2,slipper,pollard,tupou,williams,hooper,valetini,mcreight,wilson,white,edmed,toole,paisami,suaalii,jorgensen,kellaway,nasser,bell,nonggorr,salakaia-loto,tizzano,mcdermott,o'connor,daugunu
27/09/2025,2025,js,nz,rc,yes,a,7,3,-4,,l,24,33,-9,slipper,pollard,tupou,frost,salakaia-loto,hooper,mcreight,wilson,mcdermott,o'connor,toole,ikitau,suaalii,potter,jorgensen,paenga-amosa,bell,alaalatoa,williams,tizzano,lonergan,edmed,daugunu
04/10/2025,2025,js,nz,rc,yes,h,7,3,-4,,l,14,28,-14,slipper,pollard,alaalatoa,frost,skelton,hooper,mcreight,wilson,gordon,edmed,daugunu,ikitau,suaalii,potter,jorgensen,nasser,robertson,tupou,williams,valetini,lonergan,o'connor,flook
25/10/2025,2025,js,japan,tour,yes,a,7,13,6,,w,19,15,4,bell,nasser,nonggorr,williams,salakaia-loto,crespigny,tizzano,valetini,gordon,edmed,pietsch,paisami,flook,toole,kellaway,pollard,ross,robertson,canham,wilson,lonergan,stewart,daugunu
01/11/2025,2025,js,england,tour,yes,a,7,5,-2,,l,7,25,-18,bell,pollard,tupou,frost,williams,valetini,mcreight,wilson,gordon,edmed,potter,paisami,suaalii,jorgensen,kellaway,nasser,robertson,alaalatoa,salakaia-loto,crespigny,lonergan,stewart,daugunu
08/11/2025,2025,js,italy,tour,yes,a,7,10,3,,l,19,26,-7,bell,faessler,tupou,frost,williams,hooper,mcreight,wilson,gordon,gordon,potter,paisami,suaalii,toole,kellaway,pollard,ross,nonggorr,valetini,samu,lonergan,edmed,daugunu
15/11/2025,2025,js,ireland,tour,yes,a,7,3,-4,,l,19,46,-27,bell,faessler,alaalatoa,williams,hooper,valetini,mcreight,wilson,gordon,o'connor,potter,ikitau,suaalii,daugunu,jorgensen,pollard,robertson,nonggorr,frost,tizzano,lonergan,edmed,kellaway
04/07/2026,2026,js,ireland,nc,yes,h,8,3,-5,,l,31,33,-2,bell,nasser,alaalatoa,canham,williams,valetini,mcreight,wilson,lonergan,gordon,pietsch,ikitau,suaalii,jorgensen,campbell,paenga-amosa,slipper,tupou,shaw,"hooper, t",mcdermott,donaldson,wright
11/07/2026,2026,js,france,nc,yes,h,8,4,-4,,l,26,42,-16,bell,nasser,alaalatoa,canham,williams,valetini,mcreight,wilson,lonergan,meredith,pietsch,ikitau,suaalii,jorgensen,wright,paenga-amosa,slipper,tupou,shaw,crespigny,mcdermott,campbell,daugunu
18/07/2026,2026,js,italy,nc,yes,h,8,10,2,,w,57,10,47,bell,paenga-amosa,alaalatoa,canham,williams,valetini,tizzano,wilson,lonergan,meredith,potter,ikitau,suaalii,jorgensen,wright,pollard,slipper,nonggorr,amatosero,mcreight,mcdermott,donaldson,daugunu
08/08/2026,2026,lk,japan,tour,yes,a,8,10,,,w,35,32,3,,,,,,,,,,,,,,,,,,,,,,,
15/08/2026,2026,lk,japan,tour,yes,h,8,12,,,w,56,17,39,,,,,,,,,,,,,,,,,,,,,,,
