date,opposition,shirt,player,started,minutes
19/03/2016,Ireland,20,Josh Strauss,n,27
19/03/2016,Ireland,23,Sean Lamont,n,11
19/03/2016,Ireland,5,Tim Swinson,y,63
19/03/2016,Ireland,21,Henry Pyrgos,n,0
19/03/2016,Ireland,8,Ryan Wilson,y,80
19/03/2016,Ireland,15,Stuart Hogg,y,80
19/03/2016,Ireland,3,WP Nel,y,68
19/03/2016,Ireland,10,Duncan Weir,y,63
18/06/2016,Japan,13,Duncan Taylor,y,67
18/06/2016,Japan,6,John Barclay,y,80
18/06/2016,Japan,7,John Hardie,y,80
18/06/2016,Japan,11,Damien Hoyland,y,57
18/06/2016,Japan,22,Pete Horne,n,13
18/06/2016,Japan,17,Rory Sutherland,n,76
18/06/2016,Japan,1,Alasdair Dickinson,y,4
18/06/2016,Japan,18,Moray Low,n,15
18/06/2016,Japan,16,Fraser Brown,n,28
18/06/2016,Japan,23,Sean Maitland,n,23
18/06/2016,Japan,2,Stuart McInally,y,52
18/06/2016,Japan,14,Tommy Seymour,y,80
18/06/2016,Japan,9,Greig Laidlaw,y,80
18/06/2016,Japan,4,Richie Gray,y,67
18/06/2016,Japan,19,Tim Swinson,n,13
18/06/2016,Japan,21,Henry Pyrgos,n,0
18/06/2016,Japan,8,Ryan Wilson,y,65
18/06/2016,Japan,20,David Denton,n,15
18/06/2016,Japan,10,Ruaridh Jackson,y,80
18/06/2016,Japan,15,Stuart Hogg,y,80
18/06/2016,Japan,12,Matt Scott,y,80
18/06/2016,Japan,3,WP Nel,y,65
18/06/2016,Japan,5,Jonny Gray,y,80
25/06/2016,Japan,7,John Barclay,y,68
25/06/2016,Japan,20,John Hardie,n,35
25/06/2016,Japan,12,Pete Horne,y,80
25/06/2016,Japan,1,Rory Sutherland,y,40
25/06/2016,Japan,17,Gordon Reid,n,40
25/06/2016,Japan,3,Moray Low,y,40
25/06/2016,Japan,16,Fraser Brown,n,40
25/06/2016,Japan,11,Sean Maitland,y,80
25/06/2016,Japan,2,Stuart McInally,y,40
25/06/2016,Japan,14,Tommy Seymour,y,80
25/06/2016,Japan,22,Huw Jones,n,22
25/06/2016,Japan,21,Greig Laidlaw,n,30
25/06/2016,Japan,4,Richie Gray,y,80
25/06/2016,Japan,6,Josh Strauss,y,80
25/06/2016,Japan,23,Sean Lamont,n,0
25/06/2016,Japan,19,Tim Swinson,n,12
25/06/2016,Japan,9,Henry Pyrgos,y,50
25/06/2016,Japan,8,Ryan Wilson,y,45
25/06/2016,Japan,10,Ruaridh Jackson,y,58
25/06/2016,Japan,15,Stuart Hogg,y,80
25/06/2016,Japan,13,Matt Scott,y,80
25/06/2016,Japan,18,WP Nel,n,40
25/06/2016,Japan,5,Jonny Gray,y,80
