date,year,coach,opposition,tournament,test,h / a,scotland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
09/02/2025,2025,gt,ireland,6n,yes,h,6,2,-4,,l,18,32,-14,sutherland,cherry,"fagerson, z","gray, j",gilchrist,"fagerson, m",darge,dempsey,white,russell,van der merwe,jordan,jones,"graham, d",kinghorn,ashman,schoeman,hurd,skinner,"brown, g",ritchie,dobie,mcdowall
22/02/2025,2025,gt,england,6n,yes,a,7,6,-1,,l,15,16,-1,schoeman,cherry,"fagerson, z","gray, j",gilchrist,ritchie,darge,dempsey,white,russell,van der merwe,jordan,jones,rowe,kinghorn,ashman,bhatti,hurd,skinner,"brown, g","fagerson, m",dobie,mcdowall
08/03/2025,2025,gt,wales,6n,yes,h,7,12,5,,w,35,29,6,schoeman,cherry,"fagerson, z","gray, j",gilchrist,ritchie,darge,dempsey,white,russell,van der merwe,jordan,jones,"graham, d",kinghorn,ashman,sutherland,hurd,"brown, g","fagerson, m","horne, g",mcdowall,rowe
15/03/2025,2025,gt,france,6n,yes,a,7,4,-3,,l,16,35,-19,schoeman,cherry,"fagerson, z","brown, g",gilchrist,ritchie,darge,"fagerson, m",white,russell,van der merwe,jordan,jones,"graham, d",kinghorn,ashman,sutherland,hurd,"johnson, e",sykes,muncaster,dobie,mcdowall
05/07/2025,2025,gt,maori abs,tour,no,a,n/a,n/a,n/a,,w,29,26,3,mcbeth,harrison,"richardson, f",sykes,henderson,bayliss,christie,muncaster,"horne, g",hastings,reed,mcdowall,hutchinson,paterson,"smith, o",turner,hepburn,hurd,williamson,"brown, g",masibaka,burke,dobie
12/07/2025,2025,gt,fiji,tour,yes,a,7,9,2,,l,14,29,-15,sutherland,ashman,millar mills,sykes,gilchrist,ritchie,darge,"fagerson, m",dobie,burke,steyn,jordan,redpath,"graham, d",rowe,turner,hepburn,hurd,williamson,bayliss,"horne, g",hastings,"smith, o"
18/07/2025,2025,gt,samoa,tour,yes,a,8,13,5,,w,41,12,29,sutherland,ashman,millar mills,"brown, g",gilchrist,christie,darge,"fagerson, m",dobie,burke,reed,mcdowall,hutchinson,steyn,rowe,turner,mcbeth,"richardson, f",henderson,sykes,muncaster,"horne, g",hastings
01/11/2025,2025,gt,usa,eoyt,yes,h,8,15,7,,w,85,0,85,sutherland,harrison,rae,cummings,sykes,mcconnell,"richardson, d",dempsey,dobie,hastings,van der merwe,mcdowall,"smith, o","graham, d",rowe,morris,mcbeth,walker,samuel,williamson,bradbury,"horne, g",thompson
08/11/2025,2025,gt,nz,eoyt,yes,h,8,2,-6,,l,17,25,-8,schoeman,ashman,rae,cummings,gilchrist,"brown, g","fagerson, m",dempsey,white,russell,steyn,tuipulotu,hutchinson,"graham, d",kinghorn,turner,sutherland,millar mills,sykes,darge,bayliss,dobie,jordan
16/11/2025,2025,gt,argentina,eoyt,yes,h,8,6,-2,,l,24,33,-9,schoeman,ashman,rae,cummings,gilchrist,"brown, g",darge,dempsey,,russell,steyn,tuipulotu,hutchinson,"graham, d",kinghorn,turner,mcbeth,millar mills,bayliss,"fagerson, m","horne, g",jordan,van der merwe
23/11/2025,2025,gt,tonga,eoyt,yes,h,9,19,10,,w,56,0,56,sutherland,turner,"fagerson, z",samuel,williamson,christie,ritchie,bradbury,white,burke,van der merwe,tuipulotu,"smith, o",rowe,jordan,ashman,mcbeth,hurd,sykes,bayliss,"horne, g",mcdowall,steyn
07/02/2026,2026,gt,italy,6n,yes,a,9,10,1,,l,15,18,-3,schoeman,ashman,"fagerson, z",cummings,gilchrist,"fagerson, m",darge,dempsey,white,russell,dobie,tuipulotu,jones,steyn,jordan,turner,mcbeth,millar mills,williamson,"brown, g","horne, g",hastings,"graham, d"
14/02/2026,2026,gt,england,6n,yes,h,10,3,-7,,w,31,20,11,mcbeth,turner,"fagerson, z","brown, g",cummings,ritchie,darge,dempsey,white,russell,dobie,tuipulotu,jones,steyn,jordan,cherry,schoeman,millar mills,williamson,"fagerson, m","horne, g",hastings,"graham, d"
21/02/2026,2026,gt,wales,6n,yes,a,9,11,2,,w,26,23,3,mcbeth,cherry,"fagerson, z",williamson,cummings,"brown, g",darge,"fagerson, m",white,russell,van der merwe,tuipulotu,jones,steyn,kinghorn,turner,schoeman,millar mills,gilchrist,bayliss,"horne, g",jordan,"graham, d"
07/03/2026,2026,gt,france,6n,yes,h,7,4,-3,,w,50,40,10,schoeman,turner,rae,"brown, g",cummings,"fagerson, m",darge,dempsey,white,russell,steyn,tuipulotu,jones,"graham, d",kinghorn,ashman,sutherland,"fagerson, z",gilchrist,douglas,bayliss,"horne, g",jordan
14/03/2026,2026,gt,ireland,6n,yes,a,7,3,-4,,l,21,43,-22,schoeman,turner,"fagerson, z",williamson,gilchrist,"fagerson, m",darge,dempsey,white,russell,steyn,tuipulotu,jones,"graham, d",kinghorn,ashman,sutherland,rae,craig,bradbury,"horne, g",rowe,jordan
04/07/2026,2026,gt,argentina,nc,yes,a,7,5,-2,,w,47,38,9,schoeman,ashman,millar mills,"gray, j",cummings,"fagerson, m",darge,dempsey,white,jordan,dobie,tuipulotu,hutchinson,steyn,rowe,hiddleston,sutherland,"fagerson, z",samuel,"brown, g","horne, g",burke,"graham, d"
11/07/2026,2026,gt,sa,nc,yes,a,5,1,-4,,l,28,42,-14,schoeman,ashman,"fagerson, z","brown, g",cummings,"fagerson, m",darge,dempsey,white,russell,dobie,tuipulotu,hutchinson,steyn,rowe,hiddleston,sutherland,hurd,williamson,bayliss,bradbury,jordan,mcdowall
18/07/2026,2026,gt,fiji,nc,yes,h,6,9,3,,w,33,17,16,sutherland,hiddleston,rae,"gray, j",williamson,bayliss,douglas,"brown, g","horne, g",burke,van der merwe,mcdowall,"smith, o","graham, d",jordan,stephen,schoeman,"fagerson, z",cummings,mcconnell,bradbury,dobie,tuipulotu
