date,opposition,shirt,player,started,minutes
31/08/2019,Ireland,23,Jonah Holmes,n,33
31/08/2019,Ireland,6,Aaron Shingler,y,62
31/08/2019,Ireland,8,Josh Navidi,y,80
07/09/2019,Ireland,18,Dillon Lewis,n,20
07/09/2019,Ireland,17,Nicky Smith,n,18
07/09/2019,Ireland,6,Aaron Wainwright,y,80
07/09/2019,Ireland,23,Liam Williams,n,13
07/09/2019,Ireland,16,Ken Owens,n,19
07/09/2019,Ireland,21,Gareth Davies,n,10
07/09/2019,Ireland,15,Leigh Halfpenny,y,67
07/09/2019,Ireland,19,Adam Beard,n,6
07/09/2019,Ireland,3,Tomas Francis,y,60
07/09/2019,Ireland,22,Dan Biggar,n,0
07/09/2019,Ireland,10,Rhys Patchell,y,80
07/09/2019,Ireland,8,Ross Moriarty,y,62
07/09/2019,Ireland,14,George North,y,80
07/09/2019,Ireland,5,Alun Wyn Jones,y,80
07/09/2019,Ireland,13,Jonathan Davies,y,80
07/09/2019,Ireland,7,Justin Tipuric,y,80
07/09/2019,Ireland,2,Elliot Dee,y,61
07/09/2019,Ireland,1,Wyn Jones,y,62
07/09/2019,Ireland,9,Tomos Williams,y,70
07/09/2019,Ireland,12,Hadleigh Parkes,y,80
07/09/2019,Ireland,4,Jake Ball,y,74
07/09/2019,Ireland,11,Josh Adams,y,80
07/09/2019,Ireland,20,Josh Navidi,n,18
23/09/2019,Georgia,18,Dillon Lewis,n,0
23/09/2019,Georgia,17,Nicky Smith,n,0
23/09/2019,Georgia,6,Aaron Wainwright,y,80
23/09/2019,Georgia,15,Liam Williams,y,80
23/09/2019,Georgia,2,Ken Owens,y,80
23/09/2019,Georgia,9,Gareth Davies,y,80
23/09/2019,Georgia,23,Leigh Halfpenny,n,0
23/09/2019,Georgia,3,Tomas Francis,y,80
23/09/2019,Georgia,10,Dan Biggar,y,80
23/09/2019,Georgia,22,Rhys Patchell,n,0
23/09/2019,Georgia,20,Ross Moriarty,n,0
23/09/2019,Georgia,14,George North,y,80
23/09/2019,Georgia,5,Alun Wyn Jones,y,80
23/09/2019,Georgia,13,Jonathan Davies,y,80
23/09/2019,Georgia,7,Justin Tipuric,y,80
23/09/2019,Georgia,16,Elliot Dee,n,0
23/09/2019,Georgia,1,Wyn Jones,y,80
23/09/2019,Georgia,21,Tomos Williams,n,0
23/09/2019,Georgia,12,Hadleigh Parkes,y,80
23/09/2019,Georgia,4,Jake Ball,y,80
23/09/2019,Georgia,11,Josh Adams,y,80
23/09/2019,Georgia,19,Aaron Shingler,n,0
23/09/2019,Georgia,8,Josh Navidi,y,80
29/09/2019,Australia,18,Dillon Lewis,n,0
29/09/2019,Australia,17,Nicky Smith,n,0
29/09/2019,Australia,6,Aaron Wainwright,y,80
29/09/2019,Australia,15,Liam Williams,y,80
29/09/2019,Australia,2,Ken Owens,y,80
29/09/2019,Australia,9,Gareth Davies,y,80
29/09/2019,Australia,3,Tomas Francis,y,80
29/09/2019,Australia,10,Dan Biggar,y,80
29/09/2019,Australia,22,Rhys Patchell,n,0
29/09/2019,Australia,20,Ross Moriarty,n,0
29/09/2019,Australia,14,George North,y,80
29/09/2019,Australia,5,Alun Wyn Jones,y,80
29/09/2019,Australia,13,Jonathan Davies,y,80
29/09/2019,Australia,7,Justin Tipuric,y,80
29/09/2019,Australia,16,Elliot Dee,n,0
29/09/2019,Australia,23,Owen Watkin,n,0
29/09/2019,Australia,1,Wyn Jones,y,80
29/09/2019,Australia,21,Tomos Williams,n,0
29/09/2019,Australia,12,Hadleigh Parkes,y,80
29/09/2019,Australia,4,Jake Ball,y,63
29/09/2019,Australia,11,Josh Adams,y,80
29/09/2019,Australia,19,Aaron Shingler,n,17
29/09/2019,Australia,8,Josh Navidi,y,80
09/10/2019,Fiji,18,Dillon Lewis,n,0
09/10/2019,Fiji,20,Aaron Wainwright,n,0
09/10/2019,Fiji,15,Liam Williams,y,80
09/10/2019,Fiji,2,Ken Owens,y,80
09/10/2019,Fiji,9,Gareth Davies,y,80
09/10/2019,Fiji,7,James Davies,y,80
09/10/2019,Fiji,3,Tomas Francis,y,80
09/10/2019,Fiji,10,Dan Biggar,y,80
09/10/2019,Fiji,22,Rhys Patchell,n,0
09/10/2019,Fiji,8,Ross Moriarty,y,80
09/10/2019,Fiji,14,George North,y,80
09/10/2019,Fiji,5,Alun Wyn Jones,y,80
09/10/2019,Fiji,13,Jonathan Davies,y,80
09/10/2019,Fiji,16,Elliot Dee,n,0
09/10/2019,Fiji,23,Owen Watkin,n,0
09/10/2019,Fiji,1,Wyn Jones,y,80
09/10/2019,Fiji,21,Tomos Williams,n,9
09/10/2019,Fiji,17,Rhys Carre,n,0
09/10/2019,Fiji,12,Hadleigh Parkes,y,80
09/10/2019,Fiji,4,Jake Ball,y,80
09/10/2019,Fiji,11,Josh Adams,y,71
09/10/2019,Fiji,19,Aaron Shingler,n,0
09/10/2019,Fiji,6,Josh Navidi,y,80
13/10/2019,Uruguay,3,Dillon Lewis,y,80
13/10/2019,Uruguay,1,Nicky Smith,y,80
13/10/2019,Uruguay,2,Ryan Elias,y,80
13/10/2019,Uruguay,8,Aaron Wainwright,y,80
13/10/2019,Uruguay,23,Gareth Davies,n,0
13/10/2019,Uruguay,15,Leigh Halfpenny,y,80
13/10/2019,Uruguay,5,Adam Beard,y,80
13/10/2019,Uruguay,21,James Davies,n,0
13/10/2019,Uruguay,10,Rhys Patchell,y,80
13/10/2019,Uruguay,20,Ross Moriarty,n,0
13/10/2019,Uruguay,11,Hallam Amos,y,80
13/10/2019,Uruguay,7,Justin Tipuric,y,80
13/10/2019,Uruguay,16,Elliot Dee,n,0
13/10/2019,Uruguay,13,Owen Watkin,y,80
13/10/2019,Uruguay,18,Wyn Jones,n,0
13/10/2019,Uruguay,4,Bradley Davies,y,80
13/10/2019,Uruguay,22,Tomos Williams,n,0
13/10/2019,Uruguay,17,Rhys Carre,n,0
13/10/2019,Uruguay,12,Hadleigh Parkes,y,80
13/10/2019,Uruguay,19,Jake Ball,n,0
13/10/2019,Uruguay,9,Aled Davies,y,80
13/10/2019,Uruguay,14,Josh Adams,y,80
13/10/2019,Uruguay,6,Aaron Shingler,y,80
20/10/2019,France,18,Dillon Lewis,n,0
20/10/2019,France,6,Aaron Wainwright,y,80
20/10/2019,France,15,Liam Williams,y,80
