date,team,opposition,yellow_cards,red_cards
28/02/2015,italy,scotland,0,0
13/02/2021,scotland,wales,0,1
13/02/2021,wales,scotland,0,0
17/11/2018,italy,australia,0,0
17/11/2018,australia,italy,1,0
28/02/2015,france,wales,0,0
28/02/2015,wales,france,0,0
11/06/2016,australia,england,1,0
11/06/2016,england,australia,0,0
05/02/2022,ireland,wales,0,0
05/02/2022,wales,ireland,1,0
25/06/2016,japan,scotland,0,0
25/06/2016,scotland,japan,0,0
08/08/2015,australia,new_zealand,2,0
08/08/2015,new_zealand,australia,1,0
10/08/2019,ireland,italy,0,0
10/08/2019,italy,ireland,0,0
02/07/2022,south_africa,wales,0,0
02/07/2022,wales,south_africa,4,0
21/09/2024,argentina,south_africa,0,0
21/09/2024,south_africa,argentina,1,0
06/10/2018,south_africa,new_zealand,0,0
06/10/2018,new_zealand,south_africa,0,0
16/06/2018,new_zealand,france,1,0
16/06/2018,france,new_zealand,0,1
04/10/2015,ireland,italy,1,0
04/10/2015,italy,ireland,0,0
14/09/2023,france,uruguay,1,0
14/09/2023,uruguay,france,0,0
19/11/2022,scotland,argentina,2,0
19/11/2022,argentina,scotland,3,1
07/09/2024,south_africa,new_zealand,2,0
07/09/2024,new_zealand,south_africa,2,0
19/03/2022,wales,italy,0,0
19/03/2022,italy,wales,0,0
06/09/2019,england,italy,0,0
06/09/2019,italy,england,0,0
26/11/2016,scotland,georgia,1,0
26/11/2016,georgia,scotland,1,0
22/11/2025,france,australia,1,0
22/11/2025,australia,france,1,0
03/07/2021,romania,argentina,2,0
03/07/2021,argentina,romania,1,0
03/11/2018,england,south_africa,1,0
03/11/2018,south_africa,england,0,0
21/03/2015,scotland,ireland,1,0
21/03/2015,ireland,scotland,0,0
05/02/2026,france,ireland,0,0
05/02/2026,ireland,france,0,0
04/07/2026,japan,italy,0,0
04/07/2026,italy,japan,0,0
13/07/2024,new_zealand,england,0,0
13/07/2024,england,new_zealand,0,0
14/08/2021,new_zealand,australia,1,0
14/08/2021,australia,new_zealand,0,0
28/11/2020,france,italy,0,0
28/11/2020,italy,france,1,0
08/10/2016,argentina,australia,0,0
08/10/2016,australia,argentina,2,0
30/11/2019,wales,barbarians,0,0
30/11/2019,barbarians,wales,1,0
25/10/2015,argentina,australia,1,0
25/10/2015,australia,argentina,0,0
25/06/2022,portugal,italy,2,0
25/06/2022,italy,portugal,2,0
23/11/2025,england,argentina,1,0
23/11/2025,argentina,england,0,0
24/08/2019,scotland,france,0,0
24/08/2019,france,scotland,0,0
23/09/2015,scotland,japan,0,0
23/09/2015,japan,scotland,1,0
01/07/2022,romania,italy,0,1
01/07/2022,italy,romania,0,0
24/06/2017,south_africa,france,0,0
24/06/2017,france,south_africa,0,0
10/06/2017,italy,scotland,2,0
10/06/2017,scotland,italy,0,0
27/09/2015,ireland,romania,0,0
27/09/2015,romania,ireland,1,0
18/07/2015,australia,south_africa,0,0
18/07/2015,south_africa,australia,0,0
08/11/2025,scotland,new_zealand,0,0
08/11/2025,new_zealand,scotland,3,0
11/06/2016,south_africa,ireland,1,0
11/06/2016,ireland,south_africa,1,1
15/08/2015,england,france,2,0
15/08/2015,france,england,0,0
26/02/2016,wales,france,0,0
26/02/2016,france,wales,0,0
06/07/2024,australia,wales,1,0
06/07/2024,wales,australia,1,0
20/03/2021,ireland,england,1,1
20/03/2021,england,ireland,0,0
15/03/2025,wales,england,0,0
15/03/2025,england,wales,0,0
05/08/2023,ireland,italy,0,0
05/08/2023,italy,ireland,1,0
26/11/2022,england,south_africa,1,0
26/11/2022,south_africa,england,0,1
09/10/2019,argentina,usa,0,0
09/10/2019,usa,argentina,0,0
23/11/2024,wales,south_africa,0,0
23/11/2024,south_africa,wales,0,0
11/03/2017,italy,france,0,0
11/03/2017,france,italy,0,0
12/07/2022,maori all blacks,ireland,2,0
12/07/2022,ireland,maori all blacks,2,0
01/02/2025,ireland,england,0,0
01/02/2025,england,ireland,1,0
06/11/2022,england,argentina,0,0
06/11/2022,argentina,england,0,0
21/11/2021,ireland,argentina,0,0
21/11/2021,argentina,ireland,1,1
23/11/2024,ireland,fiji,1,0
23/11/2024,fiji,ireland,2,0
15/09/2022,australia,new_zealand,3,0
15/09/2022,new_zealand,australia,1,0
11/11/2017,scotland,samoa,0,0
11/11/2017,samoa,scotland,0,0
16/03/2019,england,scotland,0,0
16/03/2019,scotland,england,0,0
17/08/2024,australia,south_africa,1,0
17/08/2024,south_africa,australia,0,0
05/09/2015,leicester tigers,argentina,0,0
05/09/2015,argentina,leicester tigers,0,0
01/02/2025,scotland,italy,0,0
01/02/2025,italy,scotland,0,0
16/03/2024,wales,italy,0,0
16/03/2024,italy,wales,0,0
25/06/2016,australia,england,0,0
25/06/2016,england,australia,0,0
09/02/2025,scotland,ireland,1,0
09/02/2025,ireland,scotland,0,0
