date,team,opposition,yellow_cards,red_cards
19/08/2017,australia,new_zealand,0,0
19/08/2017,new_zealand,australia,0,0
12/02/2017,france,scotland,0,0
12/02/2017,scotland,france,0,0
19/09/2015,ireland,canada,1,0
19/09/2015,canada,ireland,1,0
05/07/2025,new_zealand,france,0,0
05/07/2025,france,new_zealand,1,0
10/11/2018,england,new_zealand,0,0
10/11/2018,new_zealand,england,0,0
27/08/2022,australia,south_africa,2,0
27/08/2022,south_africa,australia,1,0
09/02/2019,italy,wales,0,0
09/02/2019,wales,italy,0,0
11/10/2020,new_zealand,australia,0,0
11/10/2020,australia,new_zealand,0,0
17/07/2021,wales,argentina,1,0
17/07/2021,argentina,wales,0,0
10/09/2016,australia,south_africa,0,0
10/09/2016,south_africa,australia,1,0
22/02/2026,france,italy,0,0
22/02/2026,italy,france,1,0
08/10/2023,japan,argentina,1,0
08/10/2023,argentina,japan,0,0
14/03/2026,wales,italy,1,0
14/03/2026,italy,wales,0,0
16/09/2023,wales,portugal,1,0
16/09/2023,portugal,wales,0,1
30/09/2023,scotland,romania,0,0
30/09/2023,romania,scotland,3,0
03/11/2018,wales,scotland,1,0
03/11/2018,scotland,wales,0,0
10/08/2019,australia,new_zealand,0,0
10/08/2019,new_zealand,australia,0,1
19/11/2022,italy,south_africa,0,0
19/11/2022,south_africa,italy,0,0
02/11/2024,scotland,fiji,1,0
02/11/2024,fiji,scotland,2,0
19/11/2022,ireland,australia,0,0
19/11/2022,australia,ireland,1,0
30/09/2017,argentina,new_zealand,2,0
30/09/2017,new_zealand,argentina,2,0
25/02/2017,ireland,france,0,0
25/02/2017,france,ireland,0,0
10/07/2021,ireland,usa,0,0
10/07/2021,usa,ireland,0,1
08/10/2019,south_africa,canada,0,0
08/10/2019,canada,south_africa,0,1
19/07/2025,south_africa,georgia,0,0
19/07/2025,georgia,south_africa,0,0
27/08/2023,france,australia,0,0
27/08/2023,australia,france,1,0
15/10/2023,france,south_africa,0,0
15/10/2023,south_africa,france,1,0
22/11/2020,scotland,france,0,0
22/11/2020,france,scotland,0,0
07/02/2015,france,scotland,0,0
07/02/2015,scotland,france,1,0
07/11/2020,australia,new_zealand,1,1
07/11/2020,new_zealand,australia,1,1
03/09/2022,australia,south_africa,0,0
03/09/2022,south_africa,australia,2,0
14/08/2021,south_africa,argentina,0,0
14/08/2021,argentina,south_africa,0,0
05/11/2016,japan,argentina,0,0
05/11/2016,argentina,japan,0,0
01/07/2017,new_zealand,british & irish lions,0,1
01/07/2017,british & irish lions,new_zealand,1,0
