date,year,coach,opposition,tournament,test,h / a,argentina irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16/06/2018,2018,ml,wales,tour,yes,h,10,5,-5,,l,12,30,-18,garcia botta,creevy,tetaz chaparro,petti,lavanini,matera,kremer,ortega desio,landajo,sanchez,"moyano, r",de la fuente,orlando,delguy,boffelli,montoya,"diaz, j",medrano,alemanno,lezana,bertranou,gonzalez iglesias,cancelliere
23/06/2018,2018,ml,scotland,tour,yes,h,10,7,-3,,l,15,44,-29,"diaz, j",creevy,tetaz chaparro,petti,alemanno,matera,lezana,senatore,landajo,sanchez,cancelliere,"ezcurra, b",orlando,delguy,boffelli,montoya,garcia botta,medrano,kremer,lavanini,bertranou,gonzalez iglesias,mallia
18/08/2018,2018,ml,sa,rc,yes,a,10,6,-4,,l,21,34,-13,tetaz chaparro,creevy,figallo,petti,alemanno,matera,kremer,ortega desio,bertranou,sanchez,"moyano, r","ezcurra, b",moroni,delguy,boffelli,fortuny,garcia botta,medrano,lavanini,lezana,landajo,gonzalez iglesias,mallia
25/08/2018,2018,ml,sa,rc,yes,h,10,6,-4,,w,32,19,13,tetaz chaparro,creevy,figallo,petti,lavanini,matera,kremer,ortega desio,bertranou,sanchez,"moyano, r","ezcurra, b",moroni,delguy,boffelli,"bosch, f",garcia botta,medrano,alemanno,lezana,cubelli,de la fuente,mallia
08/09/2018,2018,ml,nz,rc,yes,a,9,1,-8,,l,24,46,-22,garcia botta,creevy,tetaz chaparro,petti,lavanini,lezana,kremer,ortega desio,landajo,sanchez,"moyano, r",de la fuente,moroni,delguy,boffelli,montoya,zeiss,cortes,alemanno,matera,cubelli,"ezcurra, b",mallia
15/09/2018,2018,ml,australia,rc,yes,a,9,5,-4,,w,23,19,4,tetaz chaparro,creevy,medrano,petti,lavanini,matera,kremer,ortega desio,bertranou,sanchez,"moyano, r",de la fuente,moroni,delguy,boffelli,montoya,garcia botta,zeiss,alemanno,leguizamon,landajo,"ezcurra, b",mallia
29/09/2018,2018,ml,nz,rc,yes,h,9,1,-8,,l,17,35,-18,tetaz chaparro,creevy,herrera,petti,lavanini,matera,kremer,ortega desio,bertranou,sanchez,moroni,"ezcurra, b",de la fuente,delguy,boffelli,montoya,zeiss,medrano,alemanno,leguizamon,cubelli,orlando,cancelliere
06/10/2018,2018,ml,australia,rc,yes,h,9,7,-2,,l,34,45,-11,tetaz chaparro,creevy,herrera,petti,lavanini,matera,kremer,ortega desio,bertranou,sanchez,"moyano, r",de la fuente,orlando,moroni,boffelli,montoya,garcia botta,medrano,alemanno,leguizamon,cubelli,gonzalez iglesias,cancelliere
10/11/2018,2018,ml,ireland,tour,yes,a,9,2,-7,,l,17,28,-11,garcia botta,creevy,medrano,alemanno,lavanini,matera,petti,ortega desio,cubelli,sanchez,"moyano, r",de la fuente,orlando,delguy,boffelli,montoya,zeiss,sordoni,bruni,lezana,bertranou,diaz bonilla,moroni
17/11/2018,2018,ml,france,tour,yes,a,9,8,-1,,l,13,28,-15,garcia botta,creevy,medrano,alemanno,lavanini,matera,petti,ortega desio,bertranou,sanchez,"moyano, r",de la fuente,orlando,delguy,boffelli,montoya,zeiss,sordoni,galarza,bruni,lezana,cubelli,moroni
24/11/2018,2018,ml,scotland,tour,yes,a,9,7,-2,,l,9,14,-5,garcia botta,creevy,medrano,petti,lavanini,matera,bruni,ortega desio,bertranou,sanchez,"moyano, r",de la fuente,moroni,delguy,boffelli,montoya,zeiss,sordoni,alemanno,lezana,landajo,orlando,cancelliere
20/07/2019,2019,ml,nz,rc,yes,h,10,1,-9,,l,16,20,-4,tetaz chaparro,creevy,figallo,petti,lavanini,matera,kremer,ortega desio,cubelli,sanchez,"moyano, r",de la fuente,orlando,moroni,boffelli,montoya,vivas,medrano,alemanno,lezana,"ezcurra, f",diaz bonilla,tuculet
27/07/2019,2019,ml,australia,rc,yes,a,10,6,-4,,l,10,16,-6,tetaz chaparro,montoya,figallo,petti,lavanini,matera,lezana,isa,cubelli,sanchez,"moyano, r",de la fuente,moroni,"cordero, s",tuculet,"socino, s",vivas,herrera,alemanno,leguizamon,"ezcurra, f",diaz bonilla,orlando
10/08/2019,2019,ml,sa,rc,yes,h,10,4,-6,,l,13,46,-33,tetaz chaparro,creevy,figallo,alemanno,kremer,matera,ortega desio,isa,cubelli,sanchez,"moyano, r",de la fuente,moroni,"cordero, s",boffelli,montoya,vivas,medrano,petti,lezana,bertranou,urdapilleta,tuculet
17/08/2019,2019,ml,sa,rc,yes,a,11,5,-6,,l,18,24,-6,vivas,montoya,medrano,petti,lavanini,matera,kremer,ortega desio,"ezcurra, f",diaz bonilla,"moyano, r",mensa,de la fuente,cancelliere,tuculet,"socino, s",tetaz chaparro,figallo,alemanno,lezana,bertranou,urdapilleta,"carreras, s"
21/09/2019,2019,ml,france,wc,yes,n,11,8,-3,,l,21,23,-2,tetaz chaparro,creevy,figallo,petti,lavanini,matera,kremer,ortega desio,cubelli,sanchez,"moyano, r",de la fuente,orlando,moroni,boffelli,montoya,vivas,medrano,alemanno,lezana,"ezcurra, f",urdapilleta,"carreras, s"
28/09/2019,2019,ml,tonga,wc,yes,n,11,15,4,,w,28,12,16,tetaz chaparro,montoya,figallo,petti,lavanini,matera,kremer,lezana,cubelli,urdapilleta,"carreras, s",de la fuente,orlando,moroni,boffelli,creevy,vivas,medrano,alemanno,ortega desio,"ezcurra, f",sanchez,delguy
05/10/2019,2019,ml,england,wc,yes,n,10,3,-7,,l,10,39,-29,tetaz chaparro,montoya,figallo,petti,lavanini,matera,kremer,ortega desio,cubelli,urdapilleta,"carreras, s",de la fuente,orlando,moroni,boffelli,creevy,vivas,medrano,alemanno,lezana,"ezcurra, f",mensa,delguy
09/10/2019,2019,ml,usa,wc,yes,n,10,13,3,,w,47,17,30,tetaz chaparro,montoya,medrano,petti,alemanno,matera,leguizamon,bruni,"ezcurra, f",sanchez,"carreras, s",de la fuente,mallia,delguy,tuculet,creevy,vivas,pieretto heiland,kremer,lezana,bertranou,urdapilleta,moroni
14/11/2020,2020,ml,nz,tour,yes,a,10,2,-8,,w,25,15,10,tetaz chaparro,montoya,gomez kodela,petti,alemanno,matera,kremer,bruni,cubelli,sanchez,imhoff,chocobares,orlando,delguy,"carreras, s","bosch, f",vivas,medrano,"grondona, s",lezana,bertranou,cinti,"cordero, s"
21/11/2020,2020,ml,australia,tour,yes,a,8,6,-2,,d,15,15,0,tetaz chaparro,montoya,gomez kodela,petti,alemanno,matera,kremer,bruni,bertranou,sanchez,imhoff,chocobares,orlando,delguy,"carreras, s","socino, s",vivas,medrano,"grondona, s",isa,"ezcurra, f",boffelli,"cordero, s"
28/11/2020,2020,ml,nz,tour,yes,a,8,3,-5,,l,0,38,-38,vivas,montoya,medrano,petti,paulos,matera,kremer,isa,"ezcurra, f",sanchez,"moyano, r",de la fuente,mallia,"cordero, s",boffelli,"socino, s",tetaz chaparro,sordoni,alemanno,"grondona, s",bertranou,"carreras, s",mensa
05/12/2020,2020,ml,australia,tour,yes,a,8,6,-2,,d,16,16,0,tetaz chaparro,montoya,gomez kodela,alemanno,kremer,"grondona, s",isa,bruni,"ezcurra, f",sanchez,boffelli,de la fuente,orlando,delguy,"carreras, s","gonzalez, jo",vivas,zeiss,paulos,gorrissen,bertranou,miotti,chocobares
03/07/2021,2021,ml,romania,tour,yes,a,9,18,9,,w,24,17,7,gigena,montoya,pieretto heiland,kremer,lavanini,matera,gorrissen,bruni,cubelli,sanchez,imhoff,de la fuente,moroni,delguy,"cordero, s","bosch, f",tetaz chaparro,medrano,isa,"gonzalez, ju",bertranou,miotti,mallia
10/07/2021,2021,ml,wales,tour,yes,a,9,6,-3,,d,20,20,0,tetaz chaparro,montoya,gomez kodela,petti,kremer,matera,isa,bruni,cubelli,sanchez,"cordero, s",de la fuente,moroni,"carreras, s",mallia,"bosch, f",gigena,medrano,lavanini,alemanno,bertranou,miotti,chocobares
