date,team,opposition,venue,city,country,kickoff_utc,gmt_offset
01/10/2015,france,canada,Stadiummk,Milton Keynes,England,2015-10-01T19:00:00+00:00,1.0
01/10/2015,canada,france,Stadiummk,Milton Keynes,England,2015-10-01T19:00:00+00:00,1.0
11/02/2018,scotland,france,Murrayfield,Edinburgh,Scotland,2018-02-11T15:00:00+00:00,0.0
11/02/2018,france,scotland,Murrayfield,Edinburgh,Scotland,2018-02-11T15:00:00+00:00,0.0
11/07/2026,south_africa,scotland,Loftus Versfeld,Pretoria,South Africa,2026-07-11T15:40:00+00:00,2.0
11/07/2026,scotland,south_africa,Loftus Versfeld,Pretoria,South Africa,2026-07-11T15:40:00+00:00,2.0
31/08/2019,wales,ireland,Principality Stadium,Cardiff,Wales,2019-08-31T13:30:00+00:00,1.0
31/08/2019,ireland,wales,Principality Stadium,Cardiff,Wales,2019-08-31T13:30:00+00:00,1.0
10/08/2024,new_zealand,argentina,Sky Stadium,Wellington,New Zealand,2024-08-10T07:05:00+00:00,12.0
10/08/2024,argentina,new_zealand,Sky Stadium,Wellington,New Zealand,2024-08-10T07:05:00+00:00,12.0
26/08/2023,scotland,georgia,Murrayfield,Edinburgh,Scotland,2023-08-26T16:30:00+00:00,1.0
26/08/2023,georgia,scotland,Murrayfield,Edinburgh,Scotland,2023-08-26T16:30:00+00:00,1.0
05/07/2025,japan,wales,Mikuni World Stadium,Kitakyushu,Japan,2025-07-05T05:00:00+00:00,9.0
05/07/2025,wales,japan,Mikuni World Stadium,Kitakyushu,Japan,2025-07-05T05:00:00+00:00,9.0
04/02/2018,italy,england,Stadio Olimpico,Roma,Italy,2018-02-04T15:00:00+00:00,1.0
04/02/2018,england,italy,Stadio Olimpico,Roma,Italy,2018-02-04T15:00:00+00:00,1.0
24/09/2022,new_zealand,australia,Eden Park,Auckland,New Zealand,2022-09-24T07:05:00+00:00,12.0
24/09/2022,australia,new_zealand,Eden Park,Auckland,New Zealand,2022-09-24T07:05:00+00:00,12.0
14/11/2020,italy,scotland,Stadio Artemio Franchi,Florence,Italy,2020-11-14T12:45:00+00:00,1.0
14/11/2020,scotland,italy,Stadio Artemio Franchi,Florence,Italy,2020-11-14T12:45:00+00:00,1.0
18/06/2016,australia,england,AAMI Park,Melbourne,Australia,2016-06-18T10:00:00+00:00,10.0
18/06/2016,england,australia,AAMI Park,Melbourne,Australia,2016-06-18T10:00:00+00:00,10.0
19/08/2023,wales,south_africa,Principality Stadium,Cardiff,Wales,2023-08-19T14:15:00+00:00,1.0
19/08/2023,south_africa,wales,Principality Stadium,Cardiff,Wales,2023-08-19T14:15:00+00:00,1.0
16/06/2018,argentina,wales,Estadio Brigadier Estanislao López,Santa Fe,Argentina,2018-06-16T19:40:00+00:00,-3.0
16/06/2018,wales,argentina,Estadio Brigadier Estanislao López,Santa Fe,Argentina,2018-06-16T19:40:00+00:00,-3.0
19/03/2022,ireland,scotland,Aviva Stadium,Dublin,Ireland,2022-03-19T16:45:00+00:00,0.0
19/03/2022,scotland,ireland,Aviva Stadium,Dublin,Ireland,2022-03-19T16:45:00+00:00,0.0
16/03/2019,italy,france,Stadio Olimpico,Roma,Italy,2019-03-16T12:30:00+00:00,1.0
16/03/2019,france,italy,Stadio Olimpico,Roma,Italy,2019-03-16T12:30:00+00:00,1.0
19/03/2016,wales,italy,Principality Stadium,Cardiff,Wales,2016-03-19T14:30:00+00:00,0.0
19/03/2016,italy,wales,Principality Stadium,Cardiff,Wales,2016-03-19T14:30:00+00:00,0.0
13/11/2021,ireland,new_zealand,Aviva Stadium,Dublin,Ireland,2021-11-13T15:15:00+00:00,0.0
13/11/2021,new_zealand,ireland,Aviva Stadium,Dublin,Ireland,2021-11-13T15:15:00+00:00,0.0
19/10/2019,england,australia,Oita Stadium,Oita Prefecture,Japan,2019-10-19T07:15:00+00:00,9.0
19/10/2019,australia,england,Oita Stadium,Oita Prefecture,Japan,2019-10-19T07:15:00+00:00,9.0
04/10/2025,argentina,south_africa,Allianz Stadium,London,England,2025-10-04T13:00:00+00:00,1.0
04/10/2025,south_africa,argentina,Allianz Stadium,London,England,2025-10-04T13:00:00+00:00,1.0
03/02/2024,italy,england,Stadio Olimpico,Roma,Italy,2024-02-03T14:15:00+00:00,1.0
03/02/2024,england,italy,Stadio Olimpico,Roma,Italy,2024-02-03T14:15:00+00:00,1.0
29/10/2022,scotland,australia,Murrayfield,Edinburgh,Scotland,2022-10-29T16:30:00+00:00,1.0
29/10/2022,australia,scotland,Murrayfield,Edinburgh,Scotland,2022-10-29T16:30:00+00:00,1.0
19/07/2025,new_zealand,france,FMG Stadium,Hamilton,New Zealand,2025-07-19T08:05:00+00:00,11.0
19/07/2025,france,new_zealand,FMG Stadium,Hamilton,New Zealand,2025-07-19T08:05:00+00:00,11.0
01/12/2018,barbarians,argentina,Twickenham,London,England,2018-12-01T14:30:00+00:00,0.0
01/12/2018,argentina,barbarians,Twickenham,London,England,2018-12-01T14:30:00+00:00,0.0
16/09/2017,australia,argentina,GIO Stadium,Canberra,Australia,2017-09-16T10:00:00+00:00,10.0
16/09/2017,argentina,australia,GIO Stadium,Canberra,Australia,2017-09-16T10:00:00+00:00,10.0
14/03/2026,ireland,scotland,Aviva Stadium,Dublin,Ireland,2026-03-14T14:10:00+00:00,0.0
14/03/2026,scotland,ireland,Aviva Stadium,Dublin,Ireland,2026-03-14T14:10:00+00:00,0.0
22/06/2024,japan,england,Japan National Stadium,Tokyo,Japan,2024-06-22T05:50:00+00:00,9.0
22/06/2024,england,japan,Japan National Stadium,Tokyo,Japan,2024-06-22T05:50:00+00:00,9.0
31/10/2020,france,ireland,Stade de France,Saint-Denis,France,2020-10-31T20:05:00+00:00,1.0
31/10/2020,ireland,france,Stade de France,Saint-Denis,France,2020-10-31T20:05:00+00:00,1.0
10/09/2023,wales,fiji,Stade de Bordeaux,Bordeaux,France,2023-09-10T19:00:00+00:00,2.0
10/09/2023,fiji,wales,Stade de Bordeaux,Bordeaux,France,2023-09-10T19:00:00+00:00,2.0
04/11/2017,barbarians,new_zealand,Twickenham,London,England,2017-11-04T15:00:00+00:00,0.0
04/11/2017,new_zealand,barbarians,Twickenham,London,England,2017-11-04T15:00:00+00:00,0.0
26/08/2023,england,fiji,Twickenham,London,England,2023-08-26T14:15:00+00:00,1.0
26/08/2023,fiji,england,Twickenham,London,England,2023-08-26T14:15:00+00:00,1.0
10/10/2015,samoa,scotland,St James Park,Newcastle upon Tyne,England,2015-10-10T13:30:00+00:00,1.0
10/10/2015,scotland,samoa,St James Park,Newcastle upon Tyne,England,2015-10-10T13:30:00+00:00,1.0
26/11/2016,england,argentina,Twickenham,London,England,2016-11-26T14:30:00+00:00,0.0
26/11/2016,argentina,england,Twickenham,London,England,2016-11-26T14:30:00+00:00,0.0
13/11/2021,italy,argentina,Stadio Comunale di Monigo,Treviso,Italy,2021-11-13T13:00:00+00:00,1.0
13/11/2021,argentina,italy,Stadio Comunale di Monigo,Treviso,Italy,2021-11-13T13:00:00+00:00,1.0
05/11/2022,italy,samoa,Stadio Plebiscito,Padova,Italy,2022-11-05T13:00:00+00:00,1.0
05/11/2022,samoa,italy,Stadio Plebiscito,Padova,Italy,2022-11-05T13:00:00+00:00,1.0
19/08/2017,south_africa,argentina,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2017-08-19T15:05:00+00:00,2.0
19/08/2017,argentina,south_africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2017-08-19T15:05:00+00:00,2.0
24/10/2020,ireland,italy,Aviva Stadium,Dublin,Ireland,2020-10-24T14:30:00+00:00,1.0
24/10/2020,italy,ireland,Aviva Stadium,Dublin,Ireland,2020-10-24T14:30:00+00:00,1.0
20/09/2015,new_zealand,argentina,Wembley Stadium,London,England,2015-09-20T15:45:00+00:00,1.0
20/09/2015,argentina,new_zealand,Wembley Stadium,London,England,2015-09-20T15:45:00+00:00,1.0
21/07/2024,japan,italy,Sapporo Dome,Sapporo,Japan,2024-07-21T05:05:00+00:00,9.0
21/07/2024,italy,japan,Sapporo Dome,Sapporo,Japan,2024-07-21T05:05:00+00:00,9.0
18/10/2020,new_zealand,australia,Eden Park,Auckland,New Zealand,2020-10-18T03:00:00+00:00,13.0
18/10/2020,australia,new_zealand,Eden Park,Auckland,New Zealand,2020-10-18T03:00:00+00:00,13.0
14/10/2023,wales,argentina,Stade de Marseille,Marseille,France,2023-10-14T15:00:00+00:00,2.0
14/10/2023,argentina,wales,Stade de Marseille,Marseille,France,2023-10-14T15:00:00+00:00,2.0
22/06/2024,south_africa,wales,Twickenham,London,England,2024-06-22T13:00:00+00:00,1.0
22/06/2024,wales,south_africa,Twickenham,London,England,2024-06-22T13:00:00+00:00,1.0
12/11/2022,france,south_africa,Stade Vélodrome,Marseille,France,2022-11-12T20:00:00+00:00,1.0
12/11/2022,south_africa,france,Stade Vélodrome,Marseille,France,2022-11-12T20:00:00+00:00,1.0
20/11/2021,england,south_africa,Twickenham,London,England,2021-11-20T15:15:00+00:00,0.0
20/11/2021,south_africa,england,Twickenham,London,England,2021-11-20T15:15:00+00:00,0.0
26/08/2017,new_zealand,australia,Forsyth Barr Stadium,Dunedin,New Zealand,2017-08-26T07:35:00+00:00,12.0
26/08/2017,australia,new_zealand,Forsyth Barr Stadium,Dunedin,New Zealand,2017-08-26T07:35:00+00:00,12.0
20/11/2021,france,new_zealand,Stade de France,Saint-Denis,France,2021-11-20T20:00:00+00:00,1.0
20/11/2021,new_zealand,france,Stade de France,Saint-Denis,France,2021-11-20T20:00:00+00:00,1.0
10/11/2018,italy,georgia,Stadio Artemio Franchi,Florence,Italy,2018-11-10T13:00:00+00:00,1.0
10/11/2018,georgia,italy,Stadio Artemio Franchi,Florence,Italy,2018-11-10T13:00:00+00:00,1.0
22/08/2015,france,england,Stade de France,Saint-Denis,France,2015-08-22T19:00:00+00:00,2.0
22/08/2015,england,france,Stade de France,Saint-Denis,France,2015-08-22T19:00:00+00:00,2.0
02/08/2025,australia,british & irish lions,Accor Stadium,Sydney,Australia,2025-08-02T10:00:00+00:00,10.0
02/08/2025,british & irish lions,australia,Accor Stadium,Sydney,Australia,2025-08-02T10:00:00+00:00,10.0
05/11/2016,ireland,new_zealand,Soldier Field Stadium,Chicago,United States,2016-11-05T20:00:00+00:00,-5.0
05/11/2016,new_zealand,ireland,Soldier Field Stadium,Chicago,United States,2016-11-05T20:00:00+00:00,-5.0
27/02/2016,england,ireland,Twickenham,London,England,2016-02-27T16:50:00+00:00,0.0
27/02/2016,ireland,england,Twickenham,London,England,2016-02-27T16:50:00+00:00,0.0
27/08/2016,new_zealand,australia,Westpac Stadium,Wellington,New Zealand,2016-08-27T07:35:00+00:00,12.0
27/08/2016,australia,new_zealand,Westpac Stadium,Wellington,New Zealand,2016-08-27T07:35:00+00:00,12.0
17/06/2017,fiji,italy,ANZ Stadium,Suva,Fiji,2017-06-17T02:30:00+00:00,12.0
17/06/2017,italy,fiji,ANZ Stadium,Suva,Fiji,2017-06-17T02:30:00+00:00,12.0
12/11/2022,wales,argentina,Principality Stadium,Cardiff,Wales,2022-11-12T17:30:00+00:00,0.0
12/11/2022,argentina,wales,Principality Stadium,Cardiff,Wales,2022-11-12T17:30:00+00:00,0.0
06/08/2022,south_africa,new_zealand,Mbombela Stadium,Mbombela,South Africa,2022-08-06T15:05:00+00:00,2.0
06/08/2022,new_zealand,south_africa,Mbombela Stadium,Mbombela,South Africa,2022-08-06T15:05:00+00:00,2.0
15/03/2015,italy,france,Stadio Olimpico,Roma,Italy,2015-03-15T15:00:00+00:00,1.0
15/03/2015,france,italy,Stadio Olimpico,Roma,Italy,2015-03-15T15:00:00+00:00,1.0
30/10/2021,scotland,tonga,Murrayfield,Edinburgh,Scotland,2021-10-30T14:30:00+00:00,0.0
30/10/2021,tonga,scotland,Murrayfield,Edinburgh,Scotland,2021-10-30T14:30:00+00:00,0.0
23/09/2023,england,chile,Stade Pierre-Mauroy,Lille,France,2023-09-23T15:45:00+00:00,2.0
23/09/2023,chile,england,Stade Pierre-Mauroy,Lille,France,2023-09-23T15:45:00+00:00,2.0
07/02/2016,ireland,wales,Aviva Stadium,Dublin,Ireland,2016-02-07T15:00:00+00:00,0.0
07/02/2016,wales,ireland,Aviva Stadium,Dublin,Ireland,2016-02-07T15:00:00+00:00,0.0
04/07/2026,fiji,wales,Cardiff City Stadium,Cardiff,Wales,2026-07-04T13:10:00+00:00,1.0
04/07/2026,wales,fiji,Cardiff City Stadium,Cardiff,Wales,2026-07-04T13:10:00+00:00,1.0
11/10/2019,australia,georgia,Shizuoka Stadium Ecopa,Shizuoka Prefecture,Japan,2019-10-11T10:15:00+00:00,9.0
11/10/2019,georgia,australia,Shizuoka Stadium Ecopa,Shizuoka Prefecture,Japan,2019-10-11T10:15:00+00:00,9.0
24/02/2019,italy,ireland,Stadio Olimpico,Roma,Italy,2019-02-24T15:00:00+00:00,1.0
24/02/2019,ireland,italy,Stadio Olimpico,Roma,Italy,2019-02-24T15:00:00+00:00,1.0
18/10/2015,ireland,argentina,Millennium Stadium,Cardiff,Wales,2015-10-18T12:00:00+00:00,1.0
18/10/2015,argentina,ireland,Millennium Stadium,Cardiff,Wales,2015-10-18T12:00:00+00:00,1.0
07/11/2021,scotland,australia,Murrayfield,Edinburgh,Scotland,2021-11-07T14:15:00+00:00,0.0
07/11/2021,australia,scotland,Murrayfield,Edinburgh,Scotland,2021-11-07T14:15:00+00:00,0.0
10/03/2019,ireland,france,Aviva Stadium,Dublin,Ireland,2019-03-10T15:00:00+00:00,0.0
10/03/2019,france,ireland,Aviva Stadium,Dublin,Ireland,2019-03-10T15:00:00+00:00,0.0
14/11/2021,wales,fiji,Principality Stadium,Cardiff,Wales,2021-11-14T15:15:00+00:00,0.0
14/11/2021,fiji,wales,Principality Stadium,Cardiff,Wales,2021-11-14T15:15:00+00:00,0.0
07/09/2019,ireland,wales,Aviva Stadium,Dublin,Ireland,2019-09-07T13:00:00+00:00,1.0
07/09/2019,wales,ireland,Aviva Stadium,Dublin,Ireland,2019-09-07T13:00:00+00:00,1.0
07/09/2019,new_zealand,tonga,FMG Stadium,Hamilton,New Zealand,2019-09-07T02:35:00+00:00,12.0
07/09/2019,tonga,new_zealand,FMG Stadium,Hamilton,New Zealand,2019-09-07T02:35:00+00:00,12.0
09/09/2017,new_zealand,argentina,Yarrows Stadium,New Plymouth,New Zealand,2017-09-09T07:35:00+00:00,12.0
09/09/2017,argentina,new_zealand,Yarrows Stadium,New Plymouth,New Zealand,2017-09-09T07:35:00+00:00,12.0
20/11/2022,france,japan,Stadium de Toulouse,Toulouse,France,2022-11-20T13:00:00+00:00,1.0
20/11/2022,japan,france,Stadium de Toulouse,Toulouse,France,2022-11-20T13:00:00+00:00,1.0
13/02/2016,wales,scotland,Principality Stadium,Cardiff,Wales,2016-02-13T16:50:00+00:00,0.0
13/02/2016,scotland,wales,Principality Stadium,Cardiff,Wales,2016-02-13T16:50:00+00:00,0.0
18/09/2021,australia,south_africa,Suncorp Stadium,Brisbane,Australia,2021-09-18T07:05:00+00:00,10.0
18/09/2021,south_africa,australia,Suncorp Stadium,Brisbane,Australia,2021-09-18T07:05:00+00:00,10.0
12/02/2022,wales,scotland,Principality Stadium,Cardiff,Wales,2022-02-12T14:15:00+00:00,0.0
12/02/2022,scotland,wales,Principality Stadium,Cardiff,Wales,2022-02-12T14:15:00+00:00,0.0
12/08/2023,england,wales,Twickenham,London,England,2023-08-12T16:30:00+00:00,1.0
12/08/2023,wales,england,Twickenham,London,England,2023-08-12T16:30:00+00:00,1.0
31/07/2021,south_africa,british & irish lions,Cape Town Stadium,Cape Town,South Africa,2021-07-31T16:00:00+00:00,2.0
31/07/2021,british & irish lions,south_africa,Cape Town Stadium,Cape Town,South Africa,2021-07-31T16:00:00+00:00,2.0
28/09/2019,south_africa,namibia,City of Toyota Stadium,"Aichi Prefecture, Toyota City",Japan,2019-09-28T09:45:00+00:00,9.0
28/09/2019,namibia,south_africa,City of Toyota Stadium,"Aichi Prefecture, Toyota City",Japan,2019-09-28T09:45:00+00:00,9.0
21/11/2020,england,ireland,Twickenham,London,England,2020-11-21T15:00:00+00:00,0.0
21/11/2020,ireland,england,Twickenham,London,England,2020-11-21T15:00:00+00:00,0.0
12/11/2022,england,japan,Twickenham,London,England,2022-11-12T15:15:00+00:00,0.0
12/11/2022,japan,england,Twickenham,London,England,2022-11-12T15:15:00+00:00,0.0
20/07/2019,argentina,new_zealand,Estadio José Amalfitani,Buenos Aires,Argentina,2019-07-20T18:05:00+00:00,-3.0
20/07/2019,new_zealand,argentina,Estadio José Amalfitani,Buenos Aires,Argentina,2019-07-20T18:05:00+00:00,-3.0
09/03/2019,scotland,wales,Murrayfield,Edinburgh,Scotland,2019-03-09T14:15:00+00:00,0.0
09/03/2019,wales,scotland,Murrayfield,Edinburgh,Scotland,2019-03-09T14:15:00+00:00,0.0
18/11/2017,england,australia,Twickenham,London,England,2017-11-18T14:30:00+00:00,0.0
18/11/2017,australia,england,Twickenham,London,England,2017-11-18T14:30:00+00:00,0.0
17/11/2024,wales,australia,Principality Stadium,Cardiff,Wales,2024-11-17T16:10:00+00:00,0.0
17/11/2024,australia,wales,Principality Stadium,Cardiff,Wales,2024-11-17T16:10:00+00:00,0.0
10/11/2024,wales,fiji,Principality Stadium,Cardiff,Wales,2024-11-10T13:40:00+00:00,0.0
10/11/2024,fiji,wales,Principality Stadium,Cardiff,Wales,2024-11-10T13:40:00+00:00,0.0
18/09/2021,argentina,new_zealand,Suncorp Stadium,Brisbane,Australia,2021-09-18T10:05:00+00:00,10.0
18/09/2021,new_zealand,argentina,Suncorp Stadium,Brisbane,Australia,2021-09-18T10:05:00+00:00,10.0
29/08/2015,scotland,italy,Murrayfield,Edinburgh,Scotland,2015-08-29T14:15:00+00:00,1.0
29/08/2015,italy,scotland,Murrayfield,Edinburgh,Scotland,2015-08-29T14:15:00+00:00,1.0
23/05/2015,paraguay,argentina,Estadio Heroes De Curupayty,Luque,Paraguay,2015-05-24T00:00:00+00:00,-4.0
23/05/2015,argentina,paraguay,Estadio Heroes De Curupayty,Luque,Paraguay,2015-05-24T00:00:00+00:00,-4.0
23/10/2021,usa,new_zealand,FedExField,Washington D.C.,United States,2021-10-23T21:00:00+00:00,-5.5
23/10/2021,new_zealand,usa,FedExField,Washington D.C.,United States,2021-10-23T21:00:00+00:00,-5.5
26/11/2016,ireland,australia,Aviva Stadium,Dublin,Ireland,2016-11-26T17:30:00+00:00,0.0
26/11/2016,australia,ireland,Aviva Stadium,Dublin,Ireland,2016-11-26T17:30:00+00:00,0.0
28/06/2025,south_africa,barbarians,DHL Stadium,Cape Town,South Africa,2025-06-28T15:10:00+00:00,2.0
28/06/2025,barbarians,south_africa,DHL Stadium,Cape Town,South Africa,2025-06-28T15:10:00+00:00,2.0
17/10/2015,south_africa,wales,Twickenham,London,England,2015-10-17T15:00:00+00:00,1.0
17/10/2015,wales,south_africa,Twickenham,London,England,2015-10-17T15:00:00+00:00,1.0
24/08/2019,england,ireland,Twickenham,London,England,2019-08-24T14:00:00+00:00,1.0
24/08/2019,ireland,england,Twickenham,London,England,2019-08-24T14:00:00+00:00,1.0
12/11/2022,ireland,fiji,Aviva Stadium,Dublin,Ireland,2022-11-12T13:00:00+00:00,0.0
12/11/2022,fiji,ireland,Aviva Stadium,Dublin,Ireland,2022-11-12T13:00:00+00:00,0.0
02/07/2021,south_africa,georgia,Loftus Versfeld,Pretoria,South Africa,2021-07-02T17:00:00+00:00,2.0
02/07/2021,georgia,south_africa,Loftus Versfeld,Pretoria,South Africa,2021-07-02T17:00:00+00:00,2.0
18/07/2025,samoa,scotland,Eden Park,Auckland,New Zealand,2025-07-18T09:05:00+00:00,11.0
18/07/2025,scotland,samoa,Eden Park,Auckland,New Zealand,2025-07-18T09:05:00+00:00,11.0
10/02/2019,england,france,Twickenham,London,England,2019-02-10T15:00:00+00:00,0.0
10/02/2019,france,england,Twickenham,London,England,2019-02-10T15:00:00+00:00,0.0
26/06/2016,canada,italy,BMO Field,Toronto,Canada,2016-06-26T16:00:00+00:00,-4.0
26/06/2016,italy,canada,BMO Field,Toronto,Canada,2016-06-26T16:00:00+00:00,-4.0
19/08/2023,italy,romania,Stadio Riviera Della Palme,San Benedetto del Tronto,Italy,2023-08-19T16:30:00+00:00,2.0
19/08/2023,romania,italy,Stadio Riviera Della Palme,San Benedetto del Tronto,Italy,2023-08-19T16:30:00+00:00,2.0
19/11/2016,france,australia,Stade de France,Saint-Denis,France,2016-11-19T20:00:00+00:00,1.0
19/11/2016,australia,france,Stade de France,Saint-Denis,France,2016-11-19T20:00:00+00:00,1.0
24/11/2018,england,australia,Twickenham,London,England,2018-11-24T15:00:00+00:00,0.0
24/11/2018,australia,england,Twickenham,London,England,2018-11-24T15:00:00+00:00,0.0
21/02/2026,wales,scotland,Principality Stadium,Cardiff,Wales,2026-02-21T16:40:00+00:00,0.0
21/02/2026,scotland,wales,Principality Stadium,Cardiff,Wales,2026-02-21T16:40:00+00:00,0.0
18/06/2016,south_africa,ireland,Ellis Park,Johannesburg,South Africa,2016-06-18T15:00:00+00:00,2.0
18/06/2016,ireland,south_africa,Ellis Park,Johannesburg,South Africa,2016-06-18T15:00:00+00:00,2.0
18/11/2017,scotland,new_zealand,Murrayfield,Edinburgh,Scotland,2017-11-18T17:15:00+00:00,0.0
18/11/2017,new_zealand,scotland,Murrayfield,Edinburgh,Scotland,2017-11-18T17:15:00+00:00,0.0
23/06/2017,samoa,wales,Apia Park,Apia,Samoa,2017-06-23T06:30:00+00:00,13.0
23/06/2017,wales,samoa,Apia Park,Apia,Samoa,2017-06-23T06:30:00+00:00,13.0
10/03/2018,ireland,scotland,Aviva Stadium,Dublin,Ireland,2018-03-10T14:15:00+00:00,0.0
10/03/2018,scotland,ireland,Aviva Stadium,Dublin,Ireland,2018-03-10T14:15:00+00:00,0.0
09/07/2022,new_zealand,ireland,Forsyth Barr Stadium,Dunedin,New Zealand,2022-07-09T07:05:00+00:00,12.0
09/07/2022,ireland,new_zealand,Forsyth Barr Stadium,Dunedin,New Zealand,2022-07-09T07:05:00+00:00,12.0
27/06/2026,barbarians,wales,Allianz Stadium,London,England,2026-06-27T13:00:00+00:00,1.0
27/06/2026,wales,barbarians,Allianz Stadium,London,England,2026-06-27T13:00:00+00:00,1.0
23/09/2015,australia,fiji,Millennium Stadium,Cardiff,Wales,2015-09-23T15:45:00+00:00,1.0
23/09/2015,fiji,australia,Millennium Stadium,Cardiff,Wales,2015-09-23T15:45:00+00:00,1.0
12/07/2025,fiji,scotland,HFC Bank Stadium,Suva,Fiji,2025-07-12T04:00:00+00:00,11.0
12/07/2025,scotland,fiji,HFC Bank Stadium,Suva,Fiji,2025-07-12T04:00:00+00:00,11.0
17/08/2019,italy,russia,Stadio Riviera Della Palme,San Benedetto del Tronto,Italy,2019-08-17T16:25:00+00:00,2.0
17/08/2019,russia,italy,Stadio Riviera Della Palme,San Benedetto del Tronto,Italy,2019-08-17T16:25:00+00:00,2.0
09/06/2018,japan,italy,Oita Stadium,Oita Prefecture,Japan,2018-06-09T05:45:00+00:00,9.0
09/06/2018,italy,japan,Oita Stadium,Oita Prefecture,Japan,2018-06-09T05:45:00+00:00,9.0
11/07/2026,australia,france,Brisbane Stadium,Brisbane,Australia,2026-07-11T07:40:00+00:00,10.0
11/07/2026,france,australia,Brisbane Stadium,Brisbane,Australia,2026-07-11T07:40:00+00:00,10.0
27/10/2018,new_zealand,australia,Nissan Stadium,"Kanagawa Prefecture, Yokohama City",Japan,2018-10-27T06:00:00+00:00,9.0
27/10/2018,australia,new_zealand,Nissan Stadium,"Kanagawa Prefecture, Yokohama City",Japan,2018-10-27T06:00:00+00:00,9.0
25/02/2017,scotland,wales,Murrayfield,Edinburgh,Scotland,2017-02-25T14:25:00+00:00,0.0
25/02/2017,wales,scotland,Murrayfield,Edinburgh,Scotland,2017-02-25T14:25:00+00:00,0.0
11/03/2023,italy,wales,Stadio Olimpico,Roma,Italy,2023-03-11T14:15:00+00:00,1.0
11/03/2023,wales,italy,Stadio Olimpico,Roma,Italy,2023-03-11T14:15:00+00:00,1.0
17/11/2018,scotland,south_africa,Murrayfield,Edinburgh,Scotland,2018-11-17T17:20:00+00:00,0.0
17/11/2018,south_africa,scotland,Murrayfield,Edinburgh,Scotland,2018-11-17T17:20:00+00:00,0.0
18/11/2017,italy,argentina,Stadio Artemio Franchi,Florence,Italy,2017-11-18T13:00:00+00:00,1.0
18/11/2017,argentina,italy,Stadio Artemio Franchi,Florence,Italy,2017-11-18T13:00:00+00:00,1.0
18/07/2026,australia,italy,HBF Park,Perth,Australia,2026-07-18T10:10:00+00:00,8.0
18/07/2026,italy,australia,HBF Park,Perth,Australia,2026-07-18T10:10:00+00:00,8.0
04/07/2026,argentina,scotland,Estadio Mario Alberto Kempes,Cordoba,Argentina,2026-07-04T19:10:00+00:00,-3.0
04/07/2026,scotland,argentina,Estadio Mario Alberto Kempes,Cordoba,Argentina,2026-07-04T19:10:00+00:00,-3.0
04/02/2023,wales,ireland,Principality Stadium,Cardiff,Wales,2023-02-04T14:15:00+00:00,0.0
04/02/2023,ireland,wales,Principality Stadium,Cardiff,Wales,2023-02-04T14:15:00+00:00,0.0
20/07/2024,chile,scotland,Estadio Nacional,Santiago,Chile,2024-07-21T00:00:00+00:00,-4.0
20/07/2024,scotland,chile,Estadio Nacional,Santiago,Chile,2024-07-21T00:00:00+00:00,-4.0
10/02/2024,england,wales,Twickenham,London,England,2024-02-10T16:45:00+00:00,0.0
10/02/2024,wales,england,Twickenham,London,England,2024-02-10T16:45:00+00:00,0.0
14/02/2015,england,italy,Twickenham,London,England,2015-02-14T14:30:00+00:00,0.0
14/02/2015,italy,england,Twickenham,London,England,2015-02-14T14:30:00+00:00,0.0
19/10/2019,new_zealand,ireland,Tokyo Stadium,Tokyo,Japan,2019-10-19T10:15:00+00:00,9.0
19/10/2019,ireland,new_zealand,Tokyo Stadium,Tokyo,Japan,2019-10-19T10:15:00+00:00,9.0
18/07/2026,south_africa,wales,Hollywoodbets Kings Park,Durban,South Africa,2026-07-18T15:40:00+00:00,2.0
18/07/2026,wales,south_africa,Hollywoodbets Kings Park,Durban,South Africa,2026-07-18T15:40:00+00:00,2.0
17/11/2018,england,japan,Twickenham,London,England,2018-11-17T15:00:00+00:00,0.0
17/11/2018,japan,england,Twickenham,London,England,2018-11-17T15:00:00+00:00,0.0
18/10/2015,australia,scotland,Twickenham,London,England,2015-10-18T15:00:00+00:00,1.0
18/10/2015,scotland,australia,Twickenham,London,England,2015-10-18T15:00:00+00:00,1.0
29/11/2025,wales,south_africa,Principality Stadium,Cardiff,Wales,2025-11-29T15:10:00+00:00,0.0
29/11/2025,south_africa,wales,Principality Stadium,Cardiff,Wales,2025-11-29T15:10:00+00:00,0.0
11/08/2019,england,wales,Twickenham,London,England,2019-08-11T13:00:00+00:00,1.0
11/08/2019,wales,england,Twickenham,London,England,2019-08-11T13:00:00+00:00,1.0
09/07/2022,argentina,scotland,Estadio Padre Ernesto Martearena,Salta,Argentina,2022-07-09T19:10:00+00:00,-3.0
09/07/2022,scotland,argentina,Estadio Padre Ernesto Martearena,Salta,Argentina,2022-07-09T19:10:00+00:00,-3.0
23/08/2025,south_africa,australia,DHL Stadium,Cape Town,South Africa,2025-08-23T15:10:00+00:00,2.0
23/08/2025,australia,south_africa,DHL Stadium,Cape Town,South Africa,2025-08-23T15:10:00+00:00,2.0
12/07/2025,south_africa,italy,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2025-07-12T16:10:00+00:00,1.0
12/07/2025,italy,south_africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2025-07-12T16:10:00+00:00,1.0
