date,team,opposition,venue,city,country,kickoff_utc,gmt_offset
07/02/2015,france,scotland,Stade de France,Saint-Denis,France,2015-02-07T17:00:00+00:00,1.0
07/02/2015,scotland,france,Stade de France,Saint-Denis,France,2015-02-07T17:00:00+00:00,1.0
07/11/2020,australia,new_zealand,Suncorp Stadium,Brisbane,Australia,2020-11-07T07:45:00+00:00,11.0
07/11/2020,new_zealand,australia,Suncorp Stadium,Brisbane,Australia,2020-11-07T07:45:00+00:00,11.0
03/09/2022,australia,south_africa,Allianz Stadium,Sydney,Australia,2022-09-03T09:35:00+00:00,10.0
03/09/2022,south_africa,australia,Allianz Stadium,Sydney,Australia,2022-09-03T09:35:00+00:00,10.0
14/08/2021,south_africa,argentina,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2021-08-14T15:05:00+00:00,2.0
14/08/2021,argentina,south_africa,Nelson Mandela Bay Stadium,Port Elizabeth,South Africa,2021-08-14T15:05:00+00:00,2.0
05/11/2016,japan,argentina,Prince Chichibu Memorial Stadium,Tokyo,Japan,2016-11-05T05:40:00+00:00,9.0
05/11/2016,argentina,japan,Prince Chichibu Memorial Stadium,Tokyo,Japan,2016-11-05T05:40:00+00:00,9.0
01/07/2017,new_zealand,british & irish lions,Westpac Stadium,Wellington,New Zealand,2017-07-01T07:35:00+00:00,12.0
01/07/2017,british & irish lions,new_zealand,Westpac Stadium,Wellington,New Zealand,2017-07-01T07:35:00+00:00,12.0
