date,year,opposition,h / a,eng irb,opp irb,irb difference,,higher/ lower,result,pts scored,pts conceded,difference,,tries scored,tries conceded,higher / lower,kick % success,eng cbs,opp cbs,higher / lower,eng dbs,opp dbs,higher / lower,eng off-loads,opp off-loads,higher / lower,eng kfh,opp kfh,higher / lower,eng penalties,opp penalties,higher / lower,coach,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
19/07/2025,2025,usa,a,5,16,-11,False,higher,w,40,5,35,Close (0-3),,,,,,,,,,,,,,,,,,,,sb,,rodd,langdon,aof,coles,"clark, a",ccs,"pepper, g",dombrandt,jvp,ford,murley,ojomoh,northmore,feyi-waboso,carpenter,oghre,baxter,davison,"hill, t","curry, b",randall,"atkinson, c",beard
01/11/2025,2025,australia,h,5,7,-2,False,higher,w,25,7,18,Close (0-3),4,1,,,,,,,,,,,,,,,,,,sb,,baxter,george,heyes,itoje,chessum,"pepper, g",underhill,earl,mitchell,ford,feyi-waboso,dingwall,freeman,roebuck,steward,cowan-dickie,genge,stuart,"coles, a","curry, t",pollock,spencer,"smith, f"
08/11/2025,2025,fiji,h,4,9,-5,False,higher,w,38,18,20,Close (0-3),6,3,,,,,,,,,,,,,,,,,,sb,,genge,cowan-dickie,heyes,"coles, a",chessum,"pepper, g",earl,ccs,mitchell,"smith, f",feyi-waboso,dingwall,lawrence,freeman,"smith, m",george,baxter,aof,itoje,"curry, t",pollock,spencer,arundell
15/11/2025,2025,nz,h,4,2,2,False,lower,w,33,19,14,Close (0-3),4,3,,,,,,,,,,,,,,,,,,sb,,baxter,george,heyes,itoje,"coles, a","pepper, g",underhill,earl,mitchell,ford,feyi-waboso,dingwall,lawrence,roebuck,steward,cowan-dickie,genge,stuart,ccs,"curry, t",pollock,spencer,"smith, m"
23/11/2025,2025,argentina,h,3,6,-3,False,higher,w,27,23,4,Close (0-3),3,2,,,,,,,,,,,,,,,,,,sb,,genge,cowan-dickie,aof,itoje,"coles, a","pepper, g",underhill,earl,spencer,ford,daly,ojomoh,slade,feyi-waboso,steward,dan,baxter,stuart,ewels,"curry, t",pollock,mitchell,"smith, m"
07/02/2026,2026,wales,h,3,11,-8,False,higher,w,48,7,41,Close (0-3),7,1,,,,,,,,,,,,,,,,,,sb,,genge,george,heyes,"coles, a",chessum,"pepper, g",underhill,earl,mitchell,ford,arundell,dingwall,freeman,roebuck,steward,cowan-dickie,rodd,davison,itoje,"curry, t",pollock,spencer,"smith, m"
14/02/2026,2026,scotland,a,3,10,-7,False,higher,l,20,31,-11,Close (0-3),2,4,,,,,,,,,,,,,,,,,,sb,,genge,cowan-dickie,heyes,itoje,chessum,"pepper, g",underhill,earl,mitchell,ford,arundell,dingwall,freeman,roebuck,steward,george,rodd,davison,"coles, a","curry, t",pollock,spencer,"smith, f"
21/02/2026,2026,ireland,h,4,5,-1,False,higher,l,21,42,-21,Close (0-3),3,5,,,,,,,,,,,,,,,,,,sb,,genge,cowan-dickie,heyes,itoje,chessum,"curry, t",earl,pollock,mitchell,ford,arundell,dingwall,lawrence,freeman,steward,george,rodd,davison,"coles, a","pepper, g",underhill,jvp,"smith, m"
07/03/2026,2026,italy,a,5,10,-1,False,higher,l,18,23,-5,,2,2,,,,,,,,,,,,,,,,,,sb,,genge,george,heyes,itoje,"coles, a","pepper, g",underhill,earl,spencer,"smith, f",murley,"atkinson, s",freeman,roebuck,daly,cowan-dickie,rodd,davison,chessum,ccs,pollock,jvp,"smith, m"
14/03/2026,2026,france,a,6,4,-1,False,lower,l,46,48,-2,,7,6,,,,,,,,,,,,,,,,,,sb,,genge,george,heyes,itoje,"coles, a",chessum,"pepper, g",earl,spencer,"smith, f",murley,"atkinson, s",freeman,roebuck,daly,cowan-dickie,rodd,davison,ccs,underhill,pollock,jvp,"smith, m"
04/07/2026,2026,sa,a,6,1,,,,l,21,45,-24,,3,7,,,,,,,,,,,,,,,,,,sb,,genge,george,heyes,"coles, a",martin,chessum,"curry, t",earl,jvp,"smith, f",murley,"atkinson, s",freeman,feyi-waboso,"smith, m",cowan-dickie,obano,aof,ewels,"pepper, g",pollock,mitchell,slade
11/07/2026,2026,fiji,n,6,9,,,,w,73,8,65,,11,1,,,,,,,,,,,,,,,,,,sb,,genge,george,heyes,"coles, a",martin,chessum,"pepper, g",earl,jvp,"smith, f",feyi-waboso,"atkinson, s",slade,freeman,"smith, m",cowan-dickie,aof,kloska,"curry, t",pollock,mitchell,janse van rensburg,caluori
18/07/2026,2026,argentina,a,5,7,,,,w,31,24,7,,5,3,,,,,,,,,,,,,,,,,,sb,,genge,george,heyes,"coles, a",martin,chessum,"pepper, g",earl,jvp,"smith, f",feyi-waboso,"atkinson, s",slade,freeman,"smith, m",cowan-dickie,iyogun,kloska,"curry, t",pollock,spencer,janse van rensburg,caluori
