date,year,opposition,h / a,eng irb,opp irb,irb difference,,higher/ lower,result,pts scored,pts conceded,difference,,tries scored,tries conceded,higher / lower,kick % success,eng cbs,opp cbs,higher / lower,eng dbs,opp dbs,higher / lower,eng off-loads,opp off-loads,higher / lower,eng kfh,opp kfh,higher / lower,eng penalties,opp penalties,higher / lower,coach,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01/03/2015,,ireland,a,3,4,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,attwood,kruis,haskell,robshaw,vunipola,youngs,ford,nowell,burrell,joseph,watson,goode,youngs,vunipola,thomas,easter,croft,wigglesworth,cipriani,twelvetrees
14/03/2015,,scotland,h,4,10,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,attwood,lawes,haskell,robshaw,vunipola,youngs,ford,nowell,burrell,joseph,watson,brown,youngs,vunipola,brookes,parling,wood,wigglesworth,cipriani,twelvetrees
21/03/2015,,france,h,4,7,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,hartley,cole,parling,lawes,haskell,robshaw,vunipola,youngs,ford,nowell,burrell,joseph,watson,brown,youngs,vunipola,brookes,easter,wood,wigglesworth,cipriani,twelvetrees
15/08/2015,,france,h,4,7,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,"vunipola, m",webber,brookes,kruis,parling,wood,clark,8,9,10,may,burgess,slade,watson,goode,,,,,,,,
22/08/2015,,france,a,4,7,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,"youngs, t",cole,launchbury,lawes,haskell,robshaw,8,9,10,may,burrell,joseph,nowell,brown,,,,,,,,
05/09/2015,,ireland,h,6,3,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,youngs,cole,parling,lawes,wood,robshaw,morgan,youngs,ford,may,barritt,joseph,watson,brown,george,vunipola,brookes,launchbury,vunipola,wigglesworth,farrell,burgess
18/09/2015,,fiji,h,4,9,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,youngs,cole,parling,lawes,wood,robshaw,morgan,youngs,ford,may,barritt,joseph,watson,brown,webber,vunipola,brookes,launchbury,vunipola,wigglesworth,farrell,burgess
26/09/2015,,wales,h,3,4,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,youngs,cole,parling,lawes,wood,robshaw,vunipola,youngs,farrell,may,burgess,barritt,watson,brown,webber,vunipola,brookes,launchbury,haskell,wigglesworth,ford,goode
03/10/2015,,australia,h,6,3,,,,l,,,,,,,,,,,,,,,,,,,,,,,,sl,,marler,youngs,cole,launchbury,parling,wood,robshaw,morgan,youngs,farrell,may,barritt,joseph,watson,brown,webber,vunipola,brookes,kruis,easter,wigglesworth,ford,burgess
10/10/2015,,uruguay,h,8,20,,,,w,,,,,,,,,,,,,,,,,,,,,,,,sl,,vunipola,youngs,cole,launchbury,parling,haskell,robshaw,easter,care,ford,nowell,farrell,slade,watson,goode,george,marler,wilson,kruis,wood,wigglesworth,joseph,brown
06/02/2016,2016,scotland,a,8,9,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,launchbury,kruis,robshaw,haskell,"vunipola, b",care,ford,nowell,farrell,joseph,watson,brown,george,vunipola,hill,lawes,clifford,youngs,goode,devoto
14/02/2016,2016,italy,a,7,12,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,lawes,kruis,robshaw,haskell,"vunipola, b","youngs, b",ford,nowell,farrell,joseph,watson,brown,george,marler,hill,launchbury,itoje,clifford,care,goode
27/02/2016,2016,ireland,h,6,8,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,itoje,kruis,robshaw,haskell,"vunipola, b","youngs, b",ford,nowell,farrell,joseph,watson,brown,george,vunipola,hill,lawes,clifford,care,daly,goode
12/03/2016,2016,wales,h,6,4,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,marler,hartley,cole,itoje,kruis,robshaw,haskell,"vunipola, b","youngs, b",ford,nowell,farrell,joseph,watson,brown,cowan-dickie,vunipola,brookes,launchbury,clifford,care,tuilagi,daly
19/03/2016,2016,france,a,5,8,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,itoje,kruis,robshaw,haskell,"vunipola, b",care,ford,nowell,farrell,joseph,watson,brown,cowan-dickie,marler,brookes,launchbury,clifford,youngs,tuilagi,daly
29/05/2016,2016,wales,h,4,5,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,mullan,hartley,cole,launchbury,lawes,harrison,haskell,clifford,"youngs, b",ford,yarde,burrell,joseph,watson,brown,taylor,genge,hill,attwood,kvesic,care,devoto,daly
11/06/2016,2016,australia,a,4,2,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,itoje,kruis,robshaw,haskell,"vunipola, b","youngs, b",farrell,yarde,burrell,joseph,watson,brown,cowan-dickie,mullan,hill,launchbury,lawes,care,ford,nowell
18/06/2016,2016,australia,a,3,2,,,,w,,,,,,,,,,,,,,,,,,,,,,,,ej,,"vunipola, m",hartley,cole,itoje,kruis,robshaw,haskell,"vunipola, b","youngs, b",ford,nowell,farrell,joseph,watson,brown,george,mullan,hill,launchbury,lawes,clifford,care,daly
