url,match_id,competition,season,competition_name,match_date,team,home_away,home_score_FT,away_score_FT,home_score_HT,away_score_HT,possession_pct,Tries,Metres_Gained,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Tackles_Attempted,Missed_Tackles,Turnovers_Won,Kicks_In_Play,Conversions,Conversion_Accuracy,Penalty_Goals,Penalty_Goal_Accuracy,Drop_Goals,Drop_Goal_Accuracy,Rucks_Won,Rucks_Lost,Rucks_Won_Pct,Mauls_Won,Lineouts_Won,Lineouts_Lost,Lineouts_Won_Pct,Scrums_Won,Scrums_Lost,Scrums_Won_Pct,Penalties_Conceded,Red_Cards,Yellow_Cards
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7470&competitionId=3&seasonId=2015,7470,3,2015,Internationals,,New Zealand,away,21,24,14,11,54.0%,3,477,155,23,9,188,15,16,117,16,6,25,3,0.0%,5,60.0%,0,0,93,5,94.9%,6,11,3,78.6%,2,0,100.0%,14,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7453&competitionId=3&seasonId=2014,7453,3,2014,International,,N Zealand,home,36,13,29,6,53.0%,5,617,133,30,14,163,14,16,100,14,10,28,5,80.0%,1,100.0%,0,-,76,7,91.6%,6,15,4,78.9%,7,0,100.0%,14,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7453&competitionId=3&seasonId=2014,7453,3,2014,International,,England,away,36,13,29,6,47.0%,1,387,92,14,7,124,15,23,132,30,9,28,1,100.0%,3,66.7%,0,-,62,3,95.4%,8,16,2,88.9%,8,2,80.0%,8,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7451&competitionId=3&seasonId=2014,7451,3,2014,International,,N Zealand,home,28,27,6,10,61.0%,3,567,135,31,11,200,11,20,74,11,7,26,3,66.7%,5,60.0%,0,-,93,3,96.9%,4,10,0,100.0%,8,2,80.0%,9,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7451&competitionId=3&seasonId=2014,7451,3,2014,International,,England,away,28,27,6,10,39.0%,3,358,91,11,7,142,17,19,136,31,10,27,3,100.0%,3,66.7%,0,-,53,6,89.8%,10,12,3,80.0%,4,0,100.0%,7,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7450&competitionId=3&seasonId=2014,7450,3,2014,International,,N Zealand,home,20,15,9,9,44.0%,1,311,83,13,5,109,4,12,105,22,6,34,1,0.0%,5,100.0%,0,0,52,1,98.1%,4,9,1,90.0%,11,1,91.7%,7,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=7450&competitionId=3&seasonId=2014,7450,3,2014,International,,England,away,20,15,9,9,56.0%,0,361,91,22,8,146,8,18,82,13,7,25,0,-,5,100.0%,1,0,71,4,94.7%,5,13,0,100.0%,6,0,100.0%,8,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914051&competitionId=209&seasonId=2014,914051,209,2014,Six Nations,,Italy,home,11,52,6,24,39.0%,1,273,81,9,4,97,9,20,122,29,10,13,1,0.0%,2,100.0%,1,0,51,6,89.5%,0,8,4,66.7%,7,4,63.6%,14,0,1
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914051&competitionId=209&seasonId=2014,914051,209,2014,Six Nations,,England,away,11,52,6,24,61.0%,7,524,133,29,12,213,19,21,76,9,7,17,7,100.0%,1,100.0%,0,0,86,6,93.5%,7,18,1,94.7%,5,0,100.0%,9,0,0
https://www.englandrugby.com/fixtures-and-results/match-centre-elite?matchId=914043&competitionId=209&seasonId=2014,914043,209,2014,Six Nations,,England,home,29,18,20,15,50.0%,2,596,141,26,6,137,10,12,143,24,11,38,2,100.0%,5,100.0%,0,-,82,4,95.3%,3,6,1,85.7%,7,1,87.5%,11,0,0
