player_name,slug,url,position,caps,age,height_cm,weight_kg,career_mins,avg_mins_per_game,england_wins,england_draws,england_losses,status
Jonny Hill,jonny-hill,https://www.englandrugby.com/follow/england-men/senior-men/jonny-hill,,,,,,,,,,,not_found
Sam Simmonds,sam-simmonds,https://www.englandrugby.com/follow/england-men/senior-men/sam-simmonds,,,,,,,,,,,not_found
Denny Solomona,denny-solomona,https://www.englandrugby.com/follow/england-men/senior-men/denny-solomona,,,,,,,,,,,not_found
Nick Isiekwe,nick-isiekwe,https://www.englandrugby.com/follow/england-men/senior-men/nick-isiekwe,,,,,,,,,,,not_found
Piers Francis,piers-francis,https://www.englandrugby.com/follow/england-men/senior-men/piers-francis,,,,,,,,,,,not_found
Jack Singleton,jack-singleton,https://www.englandrugby.com/follow/england-men/senior-men/jack-singleton,,,,,,,,,,,not_found
Elliott Stooke,elliott-stooke,https://www.englandrugby.com/follow/england-men/senior-men/elliott-stooke,,,,,,,,,,,not_found
Henry Trinder,henry-trinder,https://www.englandrugby.com/follow/england-men/senior-men/henry-trinder,,,,,,,,,,,not_found
George McGuigan,george-mcguigan,https://www.englandrugby.com/follow/england-men/senior-men/george-mcguigan,,,,,,,,,,,not_found
Nic Schonert,nic-schonert,https://www.englandrugby.com/follow/england-men/senior-men/nic-schonert,,,,,,,,,,,not_found
Josh Beaumont,josh-beaumont,https://www.englandrugby.com/follow/england-men/senior-men/josh-beaumont,,,,,,,,,,,not_found
James Haskell,james-haskell,https://www.englandrugby.com/follow/england-men/senior-men/james-haskell,,,,,,,,,,,not_found
Jonathan Joseph,jonathan-joseph,https://www.englandrugby.com/follow/england-men/senior-men/jonathan-joseph,,,,,,,,,,,not_found
Anthony Watson,anthony-watson,https://www.englandrugby.com/follow/england-men/senior-men/anthony-watson,,,,,,,,,,,not_found
Don Armand,don-armand,https://www.englandrugby.com/follow/england-men/senior-men/don-armand,,,,,,,,,,,not_found
Semesa Rokoduguni,semesa-rokoduguni,https://www.englandrugby.com/follow/england-men/senior-men/semesa-rokoduguni,,,,,,,,,,,not_found
Marland Yarde,marland-yarde,https://www.englandrugby.com/follow/england-men/senior-men/marland-yarde,,,,,,,,,,,not_found
Matt Mullan,matt-mullan,https://www.englandrugby.com/follow/england-men/senior-men/matt-mullan,,,,,,,,,,,not_found
Will Collier,will-collier,https://www.englandrugby.com/follow/england-men/senior-men/will-collier,,,,,,,,,,,not_found
