url,match_id,competition,season,team,home_away,player,Tries,Metres,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Turnovers_Won,Points
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Curry,,2,1,,,3,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Chessum,,12,2,,,4,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Itoje,,4,4,,,3,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Stuart,,9,6,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Cowan-Dickie,,3,4,,,,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Genge,,9,5,,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,George,,4,1,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Baxter,,,2,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Heyes,,,,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Hill,,,,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Cunningham-South,,17,3,1,,,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Curry,,,2,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Randall,,2,1,,,12,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,England,home,Daly,,35,6,2,,3,1,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Kinghorn,,126,22,7,3,10,3,3,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Rowe,,32,9,6,,4,1,3,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Jones,1,36,9,,1,5,1,1,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Jordan,,50,12,5,,13,,1,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,van der Merwe,1,88,15,5,2,5,3,,1,5
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Russell,,29,4,2,1,39,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,White,1,20,2,,,81,,2,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Dempsey,,20,11,1,,5,,2,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Darge,,4,5,,,5,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Ritchie,,11,7,,1,13,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Gilchrist,,,4,,,6,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Gray,,1,7,,,8,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Fagerson,,11,11,,,3,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Cherry,,14,4,,,2,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Schoeman,,1,10,,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Ashman,,8,4,,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Bhatti,,,4,,,3,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Hurd,,,1,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Skinner,,,,,,6,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Brown,,,5,1,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Fagerson,,12,9,3,,2,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,Dobie,,4,2,1,,34,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/six-nations-2025-england-v-scotland-match-centre#stats,941796,209,2025,Scotland,away,McDowall,,48,3,4,1,3,1,,,
