date,tournament,home_team,away_team,home_score,away_score,result,elo_home,elo_away,elo_diff,form5_home,form5_away,pdiff5_home,pdiff5_away,rest_days_home,rest_days_away,rank_prev_home,rank_prev_away,coach_tenure_home,coach_tenure_away,avg_age_home,avg_age_away,n_hist_home,n_hist_away,combo_avg_home,combo_avg_away,combo_min_home,combo_min_away,combo_front_row_home,combo_locks_home,combo_back_row_home,combo_lineout_unit_home,combo_halfbacks_home,combo_inside_backs_home,combo_back_three_home,combo_spine_home,combo_front_row_away,combo_locks_away,combo_back_row_away,combo_lineout_unit_away,combo_halfbacks_away,combo_inside_backs_away,combo_back_three_away,combo_spine_away,cards5_home,cards5_away
2018-11-24,eoyt,italy,new_zealand,3.0,66.0,l,1252.5,1896.9,-644.4,0.4,0.8,-13.8,10.2,7,7,13,1,44,50,27.49,25.96,44,50,3.75,1.25,0.0,0.0,6,9,3,4,3,4,0,1,0,1,1,0,8,0,0,0,0.4,0.0
2019-02-02,6n,scotland,italy,33.0,20.0,w,1611.3,1250.4,361.0,0.6,0.4,10.8,-23.0,70,70,7,14,47,45,26.98,27.91,47,45,3.25,1.375,0.0,0.0,1,1,0,0,24,0,0,0,7,0,1,0,3,0,0,0,0.0,0.4
2019-02-09,6n,italy,wales,15.0,26.0,l,1246.7,1693.0,-446.3,0.2,1.0,-26.2,15.6,7,8,15,3,46,50,27.8,26.22,46,50,1.125,0.25,0.0,0.0,0,1,2,1,4,1,0,0,0,1,0,0,1,0,0,0,0.2,0.2
2019-03-09,6n,scotland,wales,11.0,18.0,l,1560.6,1714.9,-154.3,0.4,1.0,-2.8,16.6,14,14,7,4,50,52,27.52,27.1,50,52,3.125,4.0,0.0,1.0,2,11,1,2,9,0,0,0,10,3,2,3,5,5,3,1,0.2,0.0
2019-07-20,rc,south_africa,australia,35.0,17.0,w,1603.0,1581.0,22.0,0.4,nan,-0.6,nan,238,nan,5,nan,50,0,28.57,27.09,50,0,2.25,0.0,0.0,0.0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.2,nan
2019-07-20,rc,argentina,new_zealand,16.0,20.0,l,1364.7,1899.1,-534.4,0.0,0.8,-12.0,22.4,238,238,9,1,49,51,27.48,26.75,49,51,7.0,3.375,0.0,0.0,2,16,7,8,9,12,2,0,1,1,0,0,24,1,0,0,0.0,0.0
2019-07-27,rc,australia,argentina,16.0,10.0,w,1558.6,1363.1,195.5,0.0,0.0,-18.0,-9.2,7,7,6,10,1,50,27.77,28.02,1,50,0.375,4.625,0.0,0.0,0,1,1,1,0,0,0,0,0,17,2,0,10,7,1,0,1.0,0.0
2019-07-27,rc,new_zealand,south_africa,16.0,16.0,d,1900.7,1625.4,275.2,0.8,0.6,19.8,3.4,7,7,1,5,52,51,28.35,28.12,52,51,4.875,3.625,0.0,0.0,8,24,0,6,1,0,0,0,6,12,0,0,8,3,0,0,0.0,0.4
2019-08-10,rc,australia,new_zealand,47.0,26.0,w,1565.3,1893.2,-327.9,0.5,0.7,-6.0,12.2,14,14,6,1,2,53,27.21,28.05,2,53,0.625,3.125,0.0,0.0,0,2,2,0,0,0,1,0,13,9,0,2,0,0,1,0,0.5,0.0
2019-08-10,rc,argentina,south_africa,13.0,46.0,l,1356.4,1632.9,-276.5,0.0,0.7,-8.2,3.6,14,14,10,5,51,52,27.52,28.16,51,52,3.75,3.625,0.0,0.0,3,1,7,0,11,8,0,0,1,13,1,0,9,4,1,0,0.0,0.4
2019-08-17,rc,new_zealand,australia,36.0,0.0,w,1848.9,1609.6,239.3,0.5,0.6666666666666666,7.8,3.0,7,7,1,6,54,3,28.01,27.44,54,3,0.625,1.0,0.0,0.0,2,1,1,0,1,0,0,0,1,0,3,0,1,1,2,0,0.4,0.3333333333333333
2019-08-17,rc,south_africa,argentina,24.0,18.0,w,1646.9,1342.4,304.5,0.7,0.0,9.6,-12.6,7,7,4,10,53,52,27.53,26.72,53,52,0.375,3.25,0.0,0.0,0,0,0,0,0,3,0,0,0,18,8,0,0,0,0,0,0.6,0.0
2019-09-21,wc,new_zealand,south_africa,23.0,13.0,w,1862.6,1664.1,198.4,0.7,0.9,20.8,18.2,14,15,1,5,56,55,28.51,28.36,56,55,2.625,6.5,0.0,2.0,3,10,2,3,2,0,1,0,8,15,5,2,11,6,3,2,0.6,0.6
2019-09-29,wc,australia,wales,25.0,29.0,l,1630.0,1706.7,-76.6,0.8,0.4,5.6,1.6,8,6,6,5,6,59,28.43,27.84,6,59,1.375,5.125,0.0,1.0,3,4,1,2,1,0,0,0,1,13,1,1,15,2,7,1,0.25,0.4
2019-10-04,wc,italy,south_africa,3.0,49.0,l,1368.0,1672.3,-304.3,0.6,0.8,14.2,23.4,8,6,14,5,56,57,28.24,28.41,56,57,3.125,6.0,0.0,0.0,8,4,3,0,10,0,0,0,1,17,6,1,12,7,4,0,0.2,0.4
2019-10-27,wc,south_africa,wales,19.0,16.0,w,1709.5,1745.0,-35.5,0.8,1.0,34.4,13.6,7,7,5,2,60,63,28.38,27.63,60,63,7.25,6.875,0.0,1.0,3,19,8,3,14,9,0,2,4,16,2,7,18,4,3,1,0.2,0.6
2019-11-01,wc,new_zealand,wales,40.0,17.0,w,1874.9,1732.3,142.6,0.8,0.8,31.0,7.2,6,5,1,3,61,64,28.62,27.36,61,64,1.625,1.75,0.0,0.0,4,1,1,0,5,0,2,0,1,6,0,6,1,0,0,0,0.6,0.6
2020-02-01,6n,ireland,scotland,19.0,12.0,w,1722.6,1577.2,145.5,nan,0.6,nan,18.2,nan,111,nan,9,0,60,27.69,27.08,0,60,0.0,0.75,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,nan,0.2
2020-02-01,6n,wales,italy,42.0,0.0,w,1718.1,1354.7,363.4,0.6,0.4,1.8,-9.0,92,120,4,14,65,57,27.84,27.06,65,57,2.5,0.75,0.0,0.0,0,17,0,2,1,0,0,0,0,0,5,0,1,0,0,0,0.6,0.6
2020-02-02,6n,france,england,24.0,17.0,w,1530.3,1711.1,-180.8,nan,nan,nan,nan,nan,nan,nan,nan,0,0,24.97,27.13,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan
2020-02-08,6n,scotland,england,6.0,13.0,l,1568.0,1685.5,-117.4,0.4,0.0,11.4,-7.0,7,6,9,3,61,1,26.71,27.05,61,1,1.375,0.125,0.0,0.0,1,2,0,0,4,1,3,0,0,0,0,0,0,0,1,0,0.0,0.0
2020-02-08,6n,ireland,wales,24.0,14.0,w,1731.8,1723.3,8.5,1.0,0.6,7.0,7.8,7,7,5,4,1,1,28.09,27.37,1,66,0.5,3.75,0.0,0.0,1,1,0,0,1,0,1,0,1,18,1,3,2,0,4,1,0.0,0.2
2020-02-09,6n,france,italy,35.0,22.0,w,1555.9,1349.5,206.4,1.0,0.4,7.0,-11.8,7,8,7,12,1,1,25.06,26.94,1,58,0.875,1.5,0.0,0.0,1,1,1,1,1,0,1,1,1,0,6,0,2,1,2,0,0.0,0.4
2020-02-22,6n,wales,france,23.0,27.0,l,1704.1,1564.5,139.6,0.4,1.0,1.4,10.0,14,13,4,6,2,2,27.85,24.95,67,2,6.25,1.25,0.0,0.0,2,19,0,4,19,1,5,0,2,2,2,2,2,0,0,0,0.2,0.0
2020-02-22,6n,italy,scotland,0.0,17.0,l,1340.9,1551.5,-210.6,0.4,0.4,-7.0,14.8,13,14,12,9,2,62,27.11,26.95,59,62,2.375,1.375,0.0,0.0,2,1,7,1,3,2,3,0,0,1,1,0,5,0,4,0,0.4,0.0
2020-02-23,6n,england,ireland,24.0,12.0,w,1702.0,1751.0,-49.0,0.5,1.0,0.0,8.5,15,15,3,5,2,2,27.36,27.99,2,2,0.75,1.0,0.0,0.0,1,1,1,1,1,1,0,0,2,0,1,0,2,1,2,0,0.0,0.5
2020-03-07,6n,england,wales,33.0,30.0,w,1726.3,1681.1,45.2,0.6666666666666666,0.2,4.0,0.4,13,14,3,5,3,3,27.57,28.35,3,68,1.375,5.25,0.0,0.0,2,2,0,2,2,2,0,1,0,20,4,3,3,2,10,0,0.0,0.0
